,author_id,mark,product_id,retailer_id,review_date,review_title,review_txt,useful_review,useless_review
0,Hedenn: AEJUGKPF3EVK2B4BMBMWWM2MZNIA,2,B071XHWS4H,amazon_fr,5 mars 2018,Déception,"Après tous les avis positifs, j'ai voulu essayer. Et c'est une déception. Il est annoncé comme dupe du Better than sex, mais honnêtement, à part la couleur du tube qui s'en approche, rien de comparable ! Il ne recourbe pas si bien que ça, et surtout, le gros point négatif c'est les petits fragments de mascara qui tombent tout au long de la journée. Très désagréable dans les yeux. Je ne rachèterai et pas ne conseille pas !",12,0
1,Elle: AFQ65QFWSOUXCKG2TVFN6HVXGTEQ,5,B071XHWS4H,amazon_fr,6 septembre 2018,Et le regard fût,"Plutôt adepte des produits dits ""Bio"", le mascara en faisait aussi partie. Sauf que.. dès la fin d'après-midi, le produit s'était effrité et me laissait avec des cils ayant retrouvé un aspect naturel... trop naturel.",6,0
2,Mag_1982: AH5BA5OGTWSHJVGWS443W4NP4QHA,4,B071XHWS4H,amazon_fr,17 avril 2018,Presque parfait,"Voilà un presque Dupe du célèbre mascara de TF. J'en suis adict mais il a un cout certain...j'ai donc testé celui ci qui ;lui ressemble beaucoup et je ne suis pas déçue. La brosse attrape bien les cils,moi qui déteste les petits picots en silicone, je retrouve enfin une bonne vieille brosse bien dense.  il allonge bien les cils et leurs donne du volume. C'est un très bon produit.",5,0
3,Origande: AGR7LS372KH4UKYGZ3SJJG6A42VQ,1,B071XHWS4H,amazon_fr,4 octobre 2018,Nul,"J'ai essayé re-essayé de l'utiliser, mais là flop complet il ne tient pas fait des petits débris qui tombent sur les paupières, les cils sont pas fournis ils ressemblent à des broussaillent, bref il n'est pas pour moi, désolée mais s'il convient à d'autres tant mieux, mais vraiment déçue je préfère me trourner vers une autre marque, dommage...",4,0
4,Valour Aurélie: AE3HB3RZQMEOVXM7VTJ2TOB3OYVQ,5,B071XHWS4H,amazon_fr,27 novembre 2017,Mascara,"Un mascara que j'ai découvert grâce à des vidéos Youtube et il est juste au top, je ne suis pas déçu !",5,0
5,Pereira Marta: AHWE6EOA42VVVVMYTM63X3X2NJEA,5,B071XHWS4H,amazon_fr,4 juin 2018,Allonge et donne du volume,"Mascara vraiment super, qui donne du volume et allonge mes cils.",0,0
6,Mel Saade: AHL6FTUHSXEOSY7MVTTPEIGH6VRA,5,B071XHWS4H,amazon_fr,30 octobre 2018,Excellente mascara,"J'ai vu sur youtube des personnes qui recommandaient ce mascara et j'ai voulu tester, il est super! Par contre pas très efficace quand il fait froid (le premier test j'ai effectué a 4°C et le mascara était un peu dur) mais quand on le chauffe un peu avec les mains il est vraiment super!",1,0
7,Jessica: AGLZ2Y5MTFGJHNGCKB5ETDCGJWQA,3,B071XHWS4H,amazon_fr,27 janvier 2019,"Mascara bien noir, allongeant mais fait des paquets","J'ai acheté ce mascara car j'avais de très bons retours sur celui-ci. Les personnes le comparaient à un mascara d'une marque connue et plus chère. Je l'ai essayé et il ne me convient pas, trop de matière d'un coup donc paquets, il faut avoir une deuxième brosse ""propre"" pour enlever l'excès. Néanmoins, il allonge bien les cils. À voir sur le long terme, si il y a moins de matière suite à l'utilisation prolongée.",1,0
8,Cindy S: AGMA7L476CHVGIIS2WYWO2UG3Y6A,5,B071XHWS4H,amazon_fr,12 janvier 2018,Je conseil !!! Des cils magnifiques,Je conseil totalement ce mascara fait des cils magnifiques !! Des longs cils épais et sans paquets sans avoir besoin de mettre 10 couches !!,2,0
9,Venusra: AEPAQVMZWE6B7DTHTWHOAH7TDFFQ,5,B071XHWS4H,amazon_fr,10 mai 2018,Yes !,"Fait son job, je suis satisfaite.",0,0
10,Client d'Amazon: AHFDJV3MO56YB52WYCY3FVKJROPQ,4,B004Z997Y2,amazon_fr,11 juin 2018,Efficace,"J'ai terminé le traitement et je peux dire que le produit est efficace. J'ai perdu mes cheveux suite à mon accouchement et beaucoup de stress cumulé. Mes cheveux au niveau des tempes étaient très courts et tout fin, et j'ai suivi le traitement en l'appliquant tous les soirs dans un premier temps, puis une fois tous les 2 soirs. C'était un traitement intensif mais qui au bout du compte a fonctionné car mes cheveux ont beaucoup poussé et ils sont devenus plus épais (plus qu'avant), et l'effet continue même après quelques semaines d'arrêt de traitement. Je n'ai pas eu de problème de démangeaison, ni d'allergie au produit. Il faut quand même tester sur une petite surface avant le traitement. L'embout roller est pratique et permet de bien répartir sur l'ensemble du cuir chevelu pour ne pas gaspiller de produit.",2,0
11,AudreyPHA: AGS7XQGDFPD3YM3LQYZLGIPBIPKA,5,B004Z997Y2,amazon_fr,11 juillet 2016,Ravie!,Ravie!,6,0
12,D. chantal: AGNTTXFU2LXQGSDYMHBVYEGZNKDQ,5,B004Z997Y2,amazon_fr,30 mai 2018,bon produit,42 ampoules avec 2 bouchons applicateurs a bille facile en utilisation,2,0
13,Mickaël Fantuzzo: AGCRM3A673UJMMO7OCXWLTSZMQAQ,5,B004Z997Y2,amazon_fr,25 mai 2018,Pas mal !,"Conseillé à la base par mon coiffeur, cure de 6 semaines, a savoir INUTILE de mettre tout le flacon sur la tête, au début je le divisait en 2 fois et c'était encore trop je trouvais, donc un flacon me fait 3 jours et c'est très bien. Constatation d'une perte moins présente de cheveux tous les matins en me coiffant. Après qq jours d'arret, la perte revient un peu plus forte donc je fais un jour sur deux à présent. Trop tot pour voir si ça marche mais ya pas de raison.",1,0
14,flov: AGTVMAJSEWAZINGTS5TZE6WDNEEQ,4,B004Z997Y2,amazon_fr,25 février 2019,Bon produit,"Appliqué sur cheveux EXTRÊMEMENT fin et fragiles, il les rend plus forts et redonne un peu de volume. J’ai donc pu noter une différence nette. Mais pour ce résultat il doit être appliqué plusieurs semaines. Je l’applique tous les 2 jours le soir pour que le produit pause un maximum de temps.Je ne mets pas 5 étoiles car il présente une odeur chimique très forte qui personnellement me gêne et que son prix reste tout de même élevé même s’il est bien moins cher que chez un coiffeur.Je recommande néanmoins.",0,0
15,Mustafa Selcuk: AFZLOYK5TSDHRMXTDUL7KXWDCT4A,4,B07CPLY35V,amazon_fr,8 décembre 2018,"Beau combo, bon prix",Avantages:,3,0
16,Pseudonyme: AG2GVGO47EUGI2ORDNNVIFARDWRQ,5,B004Z997Y2,amazon_fr,16 août 2017,cheveux renforcés,Je suis très satisfait de ce produit si comme moi vous avez la chevelure qui commence à être clairsemée les cheveux sont plus denses et plus forts aussi après mon traitement de 42 flaconnettes à raison de 3 à 4 flaconnettes par semaine le résultat est visible. Je ne perd plus mes cheveux  comme avant lors du shampooing ou du coiffage et ils sont plus epais.,2,0
17,Client d'Amazon: AFOU4UMQ637YMVEGSXK6JRSVUBVA,5,B07CPLY35V,amazon_fr,30 juillet 2018,Très bon kit pour bien commencer à entretenir sa barbe.,Kit complet pour l'entretien de la barbe ,5,0
18,uderzo: AEIOYK6UFYQWLODW34DCQSXZ2O6Q,5,B004Z997Y2,amazon_fr,6 août 2017,Miracle,J'ai testé beaucoup de produits sans succès pour la chute des cheveux. Certains ont même été achetés sur ordonnance. Là c'est le miracle ! Merci L'Oréal !!!! En quelques jours ( 3 à 5 ) plus de cheveux sur le carrelage blanc,2,0
19,Amazone: AEHF4VT5R7TMI4UYEHUJJ5JO7BRQ,5,B07CPLY35V,amazon_fr,29 décembre 2018,Super produits,"Produits utilisés au quotidien, gel nettoyant visage et barbe utilisé sous la douche , huile pour hydratation et crème pour finir qui laisse une odeur très agréable toute la journée , peut aussi s utiliser sur les cheveux pour un effet cire , le top , les 3 produits sont livrés dans une trousse de toilette qui est simple mais très jolie et que j ai réutilisé.",1,0
20,génie: AH6MP3E43GVRNWNLLX5WT7L2BXUQ,1,B004Z997Y2,amazon_fr,6 février 2019,je ne recommande pas,après 3 semaine d utilisation je n et vu aucun résultat,0,0
21,Laurie: AESFKBX7J54WS7APBVU5JJQZVYNQ,5,B00L5715WE,amazon_fr,17 mars 2018,Magique!,"J'ai acheté toute la gamme et je suis méga contente! Mes cheveux sont fins, fragiles, ils cassent et je les perds mais après une utilisation, oui oui, une seule,mes cheveux sont doux, brillants, souples, franchement GÉNIAL. Les racines ne sont pas lourdes, les produits facilitent le brushing et pas qu'un peu! Moi qui passait 36 fois avec la brosse+ le fer a lisser apres et bien la après 2 ou 3 passages, la mise en forme etait nikel et nul besoin de fer a lisser. En 15 ans je lai rangé sans l'utiliser!!! J'adore tout simplement ces produits ! Enfin jai trouvé de supers produits après des années d'argent jeté par les fenêtres. Merci l'Oreal !!!",3,0
22,Pierre C.: AHMNYQCO6ISRMMTOPPCC37DCSD4A,5,B07CPLY35V,amazon_fr,14 février 2019,Très bon lot (...réal),"Très bon prix, l'huile seule est aux alentours de 10€ et la crème seule à environ 6€ en grande surface (plus cher sur les sites spécialisés). L'huile laisse une odeur boisée agréable et la crème également en plus de donner de la consistance et de la fermeté à la barbe. Deux bons produits signés L'Oréal sachant qu'ils font partie de mes produits quotidiens.",0,0
23,Amazon Customer: AFEK5BY33YW5VGXVTQTADI45VJKA,5,B004Z997Y2,amazon_fr,24 mai 2018,Très bon produit,"J'adore ce traitement pour regénérer mes cheveux, je l'utilise 2 fois par an, au changement des saisons et de temperature (printemps et début hiver)",0,0
24,Pivoine T. K. : AFLSIOCDERAUNRAOFASTDDCDSHWQ,5,B00L5715WE,amazon_fr,18 octobre 2016,Super,"C'est un produit miracle !! J'avais les cheveux morts à cause des colo et des décolorations. C'est la première fois que j'ai essayé ce masque. Il est géniale. Mes cheveux revivent, respirent, sont soyeux. Je ne m'en passerai plus. 100% RECOMMANDE",9,0
25,Cynthia: AFCPF4SMPNRYY26VKLHKSCZ6FVMA,5,B07CPLY35V,amazon_fr,31 janvier 2019,Mari heureux .. et beau,"Acheté pour mon mari, il a tout de suite apprécié la taille des produits et la pochette offerte avec.",0,0
26,Cece: AGORJ26QDU3TB2MI2QFYUT2ZNNIA,4,B004Z997Y2,amazon_fr,14 novembre 2015,livraison hyper rapide et sans casse très bien emballe,recommandation du produit par un proche ou les résultats ont été remarquables,2,0
27,Client d'Amazon: AFK5MJUEQMHU77EUNJ3HKAC3IBSQ,4,B013PGG6IU,amazon_fr,15 avril 2018,Super hydratant,"J'ai les cheveux très sec , mais vraiment super sec, du style cheveux d'africaines...",10,0
28,MYRIAM: AE6QNEKPKV2B4445T4MIO364MVRA,5,B00L5715WE,amazon_fr,26 janvier 2017,masque soin,"masque pour cheveux abimées, redonne de l'éclat et de la douceur au cheveu il est a associé avec son shampoing ce n'est pas pour les cheveux secs mais pour les cheveux abimées usées..",6,0
29,Pumbuus: AHHT2SLK73IZFB7TR5QUI4QMBIZQ,4,B07CPLY35V,amazon_fr,20 janvier 2019,Parfum très agréable. Un kit intéressant pour démarrer,Je n'ai pas essayé encore la cire. Mais le gel nettoyant et l'huile pour barbe ont une très bonne odeur. J'apprécie beaucoup. Le gel nettoyant mousse bien donc pas besoin d'en mettre beaucoup.,0,0
30,solune: AHNVCVLAKO2WJ5ZGKDXKEXSHL54A,5,B013PGG6IU,amazon_fr,12 juillet 2017,un must have,"Très bon produit l'oréal professionel. Je l'utilise après avoir fais mon brushing : il laisse mes cheveux tout doux, brillant et je dois dire que l'odeur est divine. Vous pouvez l'acheter les yeux fermés. (petit conseil : un seul coup de pompe suffit pour vos cheveux, frottez bien vos mains pour faire ""chauffer"" l'huile et appliquer sur l'ensemble des cheveux)",11,0
31,Gazeau L.: AH2FFWSIRMSX7MHEA435ZKP4NE5A,5,B00L5715WE,amazon_fr,3 juillet 2017,Un masque pour sauver vos cheveux!,Un masque indispensable pour les cheveux très sensibilisés ... permet un rendu comme si on sortait de chez le coiffeur! Je l'associe au shampoing de la même marque et mes cheveux sont vraiment soulagés! Marque de professionnels que j'ai connu par ma coiffeuse! Je recommande vivement !,2,0
32,Djouder: AF57DEAAZTWL3VM7FZJYUFN73XTQ,5,B07CPLY35V,amazon_fr,24 février 2019,SATISFAIT,j'ai lu les commentaires comme tout le monde avant de commander. j'ai commandé avec appréhension je dois le dire.,0,0
33,gauthange: AEON57CJVKTOR7Z43M36AS6UICYQ,5,B000UUQAY0,amazon_fr,9 février 2016,Le must des champoings pour blondes,"MA coiffeuse me l'avait recommandé pour mes cheveux méchés,",6,0
34,eliane: AGBSTWNWKEFQG2QN5IKQPOLKASPA,5,B013PGG6IU,amazon_fr,10 février 2018,Huile pour cheveux sublime,"Géniale huile de chez l'oreal je la met depuis des années et je n'en changerai pas fait les cheveux extrêmement doux et soyeux , pleinement satisfaite de ce produit mes cheveux brille et leurs donne éclat, je la recommande sans hésitation.",4,0
35,LISE: AGMBWMBWT2WKB2KFN3K5PXNNR66Q,5,B00L5715WE,amazon_fr,3 août 2017,Réparation assurée,"Sur cheveux fins, secs, poreux et colorés, résultat spectaculaire. Tous doux et brillants sans pour autant être gras, ce masque les hydrate sans les alourdir. Vraiment parfait.",3,0
36,Yann K.: AFWLOESX6B6QS3PCFF7WN75NMOVA,5,B07CPLY35V,amazon_fr,7 février 2019,Un ensemble complet,"Acheté pour tester lors d'une vente flash, ces produits m'ont beaucoup plu. Le savon visage et barbe sent bon et est agréable à utiliser, l'huile adoucit bien la barbe et le gel pour barbe permet de bien plaquer les derniers poils récalcitrants.  Je recommande ce pack à ceux qui souhaitent entretenir une barbe > à 10mm.",0,0
37,Client d'Amazon: AGZ53O66XL2XHVNUJNTGUXFW3SDA,1,B000UUQAY0,amazon_fr,6 mai 2017,Vendeur honteux,"Pas d'avis sur le produit car j'ai reçu un carton vide. Pas de vol à la poste car il était totalement bien fermé. Je ne recommande pas du tout le vendeur, c'est une honte !",6,0
38,Gatto: AH6IWM3LPMOLJFDJDZJMGD22JTUQ,5,B003U402AG,amazon_fr,25 août 2017,Efficace,"Voilà plusieurs année que j'utilise ce produit. Châtain clair, parsemé de cheveux blancs il redonne à l'ensemble une uniformité naturelle sans cet aspect de teinture caractéristique des cheveux teints. Je l'utilise environ toutes les 3 à quatre semaines, de préférence après être passé chez le coiffeur, en ne faisant que les racines en me faisant aider pour la nuque. Pour cela je n'utilise que la moitié d'un tube. Dans ce cas il faut amener le produit au bord de la sortie du tube avant de le refermer afin d'éviter son oxydation. Avant de s'en resservir une deuxième fois enlever les premiers millimètres qui sont oxydés pour plus d'efficacité. Cette méthode ne vaut bien sur que pour les cheveux courts.",8,0
39,Valérie P.: AHUXE2KVOABEIXZT3R4LV565MBWA,4,B013PGG6IU,amazon_fr,18 mars 2018,Efficace et sent bon,Joli flacon en verre qualitatif pour contenir cette huile capillaire qui nourrit bien les cheveux sans les graisser et qui les protège des agressions liées au séchage par le sèche-cheveux. Elle sent très bon donc c’est un plaisir de l’appliquer,2,0
40,Bauer sandrine: AEM5UCJIJ2LNS4FNQ6L2PL2ZFY3Q,5,B00L5715WE,amazon_fr,26 décembre 2015,Je recommande!!,Ce masque est tout simplement magique! le top!!,3,0
41,Zizou: AFWRMQG25V2E6EUJUSOUNWUOGEFQ,1,B07CPLY35V,amazon_fr,13 janvier 2019,De la daube,Grosses allergies provoquées par le gel lavant pour barbe. Je suis très déçu et choqué pour une grande marque comme ça. Retour chez l'envoyeur !,0,0
