,author_id,gender,eye_color,hair_color,skin_concerns,skintone,skintype
0,S_clarinette1,Female,Verts,,,,Mixte
1,S_claireD,Female,Verts,,,,Seche
2,S_Josinette,Female,Marrons,,,,Deshydratee
3,S_CharlotteFG,Female,Bleus,,,,Mixte
4,S_Angela D,Female,Marrons,,,,Normale
5,S_Choupy31,Female,Marrons,,,,Mixte
6,S_miminette,Female,Bleus,,,,Mixte
7,S_Anna87,Female,Bleus,,,,Deshydratee
8,S_Charline1968,Female,Marrons,,,,Normale
9,S_Ray77,Female,Marrons,,,,Seche
10,S_loulounessy,Female,Verts,,,,Normale
11,S_Sego94,Female,,,,,
12,S_Marinelpt45,Female,Bleus,,,,Normale
13,S_Charlycharl,Female,Marrons,,,,Mixte
14,S_labellesardine,Female,Bleus,,,,Mixte
15,S_Laury0109,Female,Verts,,,,Grasse
16,S_Marie_0112,Female,Bleus,,,,Normale
17,S_Leila1305,Female,Marrons,,,,Seche
18,S_Njie22,Female,Bleus,,,,Deshydratee
19,S_Panda9723,Female,Verts,,,,Grasse
20,S_Noelsand,Female,Bleus,,,,Normale
21,S_Cam17,Female,Verts,,,,Mixte
22,S_Meli76,Female,Marrons,,,,Normale
23,S_Diclé,Female,Marrons,,,,Mixte
24,S_justinemesobsessions,Female,Verts,,,,Normale
25,S_cheikh,Female,Marrons,,,,Seche
26,S_celestine2412,Female,Bleus,,,,Grasse
27,S_EtudianteMakeup,Female,Marrons,,,,Mixte
28,S_Manon1910,,Bleus,,,,Normale
29,S_capucinecrn,Female,Verts,,,,Mixte
30,S_marsbaila,Female,Verts,,,,Mixte
31,S_Fannyw15,Female,Verts,,,,Mixte
32,S_bdgdb,Female,Marrons,,,,Seche
33,S_Do269,Female,Bleus,,,,Deshydratee
34,S_Pauline74,Female,Noirs,,,,Seche
35,S_kukia26,Female,Marrons,,,,Normale
36,S_Vavoune 65,Female,Marrons,,,,Mixte
37,S_Fannyyyy,Female,Verts,,,,Seche
38,S_Val91,Female,Marrons,,,,Normale
39,S_LNeige,Female,Verts,,,,
40,S_Marinoulecaramel,Female,Bleus,,,,Grasse
41,S_clemmse,Female,Verts,,,,Mixte
42,S_Marlène01,Female,,,,,
43,S_MarieC94,Female,Marrons,,,,Mixte
44,S_Lu_and_cie,Female,Bleus,,,,Mixte
45,S_C46,Female,,,,,Deshydratee
46,S_ValDom83,Female,Bleus,,,,Normale
47,S_C48,Female,Bleus,,,,Mixte
48,S_Gala3,Female,Verts,,,,Mixte
49,S_C50,Female,,,,,Deshydratee
50,S_barbabig,,,,,,
51,S_SéverineDVL,Female,Verts,,,,Mixte
52,S_audrey95,,,,,,
53,S_leilame,,,,,,
54,S_zineb,,,,,,
55,S_lmchsane,Female,,,,,
56,S_Lily86,Female,,,,,
57,S_Bribricpl,Female,,,,,
58,S_MorganeTbrl,Female,Bleus,,,,Mixte
59,S_giustina,Female,Gris,,,,Normale
60,S_florencej,Female,Marrons,,,,Normale
61,S_hrelod,Female,Verts,,,,Normale
62,S_Tiffany75,Female,Bleus,,,,Seche
63,S_Ellodie,Female,Noirs,,,,Mixte
64,S_aislyne,Female,Bleus,,,,Mixte
65,S_lilithebee,Female,Bleus,,,,Mixte
66,S_majoliegarance,Female,Marrons,,,,Deshydratee
67,S_Marilg,Female,Verts,,,,Mixte
68,S_sarahperfectmakeup,Female,Marrons,,,,Grasse
69,S_MARIE1,Female,Bleus,,,,Mixte
70,S_KikaParis,Female,Noirs,,,,Mixte
71,S_axel2012,Female,Verts,,,,Mixte
72,S_lea2202,Female,Marrons,,,,Deshydratee
73,S_Ju1986,Female,Marrons,,,,Mixte
74,S_paradisiak,Female,Bleus,,,,Seche
75,S_hilouane,,,,,,
76,S_Oodrey,Female,Marrons,,,,Normale
77,S_belleorkidee,Female,Marrons,,,,Mixte
78,S_melline019,Female,Verts,,,,Normale
79,S_Cacilii,Female,Verts,,,,Mixte
