,pos_tagged_coms
0,"[('Tres', 'ET'), ('nkn', 'ET'), ('schampoing', 'ET')]"
1,"[('TRÉS', 'NPP'), ('UTILES', 'NPP'), ('POUR', 'P'), ('LES', 'DET'), ('PERSONNES', 'N'), ('CONCERNÉS', 'ADJ'), ('.', 'PUNC')]"
2,"[('Le', 'DET'), ('produit', 'NC'), ('est', 'V'), ('efficace', 'ADJ'), ('après', 'P'), ('trois', 'DET'), ('applications', 'NC'), ('en', 'P'), ('suivant', 'VPR'), ('les', 'DET'), ('instructions', 'NC'), ('sur', 'P'), ('la', 'DET'), ('boîte', 'NC'), ('.', 'PUNC'), (""J'"", 'CLS'), ('ai', 'V'), ('des', 'DET'), ('cheveux', 'NC'), ('quasiment', 'ADV'), ('entièrement', 'ADV'), ('blanc', 'ADJ'), ('.', 'PUNC'), ('Le', 'DET'), ('résultat', 'NC'), ('est', 'V'), ('naturel', 'ADJ'), ('.', 'PUNC'), (""L'"", 'DET'), ('application', 'NC'), ('est', 'V'), ('simple', 'ADJ'), (',', 'PUNC'), ('le', 'DET'), ('produit', 'NC'), ('ne', 'ADV'), ('sent', 'V'), ('pas', 'ADV'), ('mauvais', 'ADJ'), ('comme', 'P'), ('les', 'DET'), ('couleurs', 'NC'), ('.', 'PUNC'), ('Il', 'CLS'), (""s'"", 'CLR'), ('applique', 'V'), ('facilement', 'ADV'), ('.', 'PUNC'), ('Le', 'DET'), ('temps', 'NC'), ('de', 'P'), ('pose', 'NC'), ('est', 'V'), ('court', 'ADJ'), ('.', 'PUNC'), ('Cela', 'PRO'), ('tache', 'V'), ('quand', 'CS'), ('même', 'ADV'), ('le', 'DET'), ('carrelage', 'NC'), ('et', 'CC'), ('la', 'DET'), ('douche', 'NC'), ('donc', 'ADV'), ('il', 'CLS'), ('faut', 'V'), ('bien', 'ADV'), ('rincer', 'VINF'), ('au', 'P'), ('moment', 'NC'), ('.', 'PUNC')]"
3,"[('Avec', 'P'), ('la', 'DET'), ('gamme', 'NC'), ('Absolut', 'NPP'), ('Repair', 'NPP'), ('de', 'P'), (""L'"", 'DET'), ('Oréal', 'N'), ('votre', 'DET'), ('chevelure', 'NC'), ('est', 'V'), ('douce', 'ADJ'), (',', 'PUNC'), ('renforcée', 'VPP'), ('et', 'CC'), ('protégée', 'VPP'), ('.', 'PUNC'), ('Son', 'DET'), ('odeur', 'NC'), ('est', 'V'), ('délicate', 'ADJ'), ('et', 'CC'), ('sophistiquée', 'ADJ'), ('et', 'CC'), ('les', 'DET'), ('textures', 'NC'), ('crémeuses', 'ADJ'), ('et', 'CC'), ('non', 'ADV'), ('grasses', 'ADJ'), ('.', 'PUNC'), ('Un', 'DET'), ('soin', 'NC'), ('professionnel', 'ADJ'), ('accessible', 'ADJ'), ('depuis', 'P'), ('chez', 'P'), ('soi', 'PRO'), (',', 'PUNC'), ('je', 'CLS'), ('suis', 'V'), ('conquise', 'VS'), ('!', 'PUNC')]"
4,"[('Application', 'NC'), ('simple', 'ADJ'), ('et', 'CC'), ('rapide', 'ADJ'), ('et', 'CC'), ('laisse', 'V'), ('une', 'DET'), ('belle', 'ADJ'), ('sensation', 'NC'), ('sur', 'P'), ('la', 'DET'), ('pea', 'NC'), ('.', 'PUNC'), ('De', 'P'), ('suite', 'N'), (',', 'PUNC'), ('le', 'DET'), ('tient', 'V'), ('est', 'V'), ('unifié', 'ADJ'), ('.', 'PUNC'), ('Pour', 'P'), ('le', 'DET'), ('cote', 'NC'), ('matifiant', 'ADJ'), (',', 'PUNC'), ('n', 'NC'), ('est', 'V'), ('pas', 'ADV'), ('infaillible', 'ADJ'), ('mais', 'CC'), ('rien', 'PRO'), ('ne', 'ADV'), ('l', 'CLO'), ('est', 'V'), ('quand', 'CS'), ('on', 'CLS'), ('a', 'V'), ('pas', 'ADV'), ('la', 'DET'), ('peau', 'NC'), ('un', 'DET'), ('peu', 'ADV'), ('grasse', 'ADJ'), ('.', 'PUNC'), (""J'"", 'CLS'), ('en', 'CLO'), ('suis', 'V'), ('plus', 'ADV'), ('que', 'ADV'), ('satisfaite', 'ADJ'), ('.', 'PUNC')]"
5,"[('Habitué', 'VPP'), ('des', 'P'), ('crèmes', 'N'), (""L'"", 'DET'), ('Oréal', 'N'), (',', 'PUNC'), ('je', 'CLS'), (""n'"", 'ADV'), ('ai', 'V'), ('que', 'ADV'), ('été', 'VPP'), ('très', 'ADV'), ('rarement', 'ADV'), ('déçu', 'VPP'), ('.', 'PUNC'), ('Ce', 'DET'), ('modèle', 'NC'), ('est', 'V'), ('particulièrement', 'ADV'), ('agréable', 'ADJ'), (',', 'PUNC'), ('une', 'DET'), ('crème', 'N'), ('blanche', 'ADJ'), ('assez', 'ADV'), ('pâteuse', 'ADJ'), ('mais', 'CC'), ('qui', 'PROREL'), ('pénètre', 'V'), ('rapidement', 'ADV'), ('.', 'PUNC'), ('Son', 'DET'), ('odeur', 'NC'), ('est', 'V'), ('très', 'ADV'), ('agréable', 'ADJ'), ('(', 'NC'), ('plus', 'ADV'), ('que', 'CS'), ('la', 'DET'), ('plupart', 'NC'), ('des', 'P'), ('autres', 'ADJ'), ('soins', 'NC'), (""L'"", 'DET'), ('Oréal', 'N'), (')', 'ADJ'), ('et', 'CC'), ('son', 'DET'), ('application', 'NC'), ('à', 'P'), ('la', 'DET'), ('pompe', 'NC'), ('très', 'ADV'), ('pratique', 'ADJ'), ('.', 'PUNC'), ('Elle', 'CLS'), ('pourra', 'V'), ('laisser', 'VINF'), ('un', 'DET'), ('léger', 'ADJ'), ('film', 'NC'), ('gras', 'ADJ'), ('si', 'CS'), ('on', 'CLS'), ('en', 'CLO'), ('applique', 'V'), ('trop', 'ADV'), (',', 'PUNC'), ('mais', 'CC'), ('rien', 'PRO'), ('de', 'P'), ('désagréable', 'ADJ'), ('.', 'PUNC'), ('Ensuite', 'ADV'), ('son', 'DET'), ('effet', 'NC'), ('anti', 'ADJ'), ('-', 'PUNC'), ('âge', 'N'), (',', 'PUNC'), ('on', 'CLS'), ('va', 'V'), ('considérer', 'VINF'), ('ça', 'PRO'), ('comme', 'P'), ('toute', 'ADJ'), ('les', 'DET'), ('crèmes', 'N'), (',', 'PUNC'), ('elle', 'CLS'), ('a', 'V'), ('un', 'DET'), ('réel', 'ADJ'), ('effet', 'NC'), ('hydratant', 'VPR'), ('mais', 'CC'), ('on', 'CLS'), ('sait', 'V'), ('tous', 'PRO'), ('que', 'PROREL'), ('les', 'DET'), ('effets', 'NC'), ('anti', 'ADJ'), ('rides', 'ADJ'), ('sont', 'V'), ('plus', 'ADV'), ('marketing', 'ADJ'), ('qu', 'NC'), (""'"", 'DET'), ('autre', 'ADJ'), ('chose', 'NC'), ('.', 'PUNC'), (""N'"", 'ADV'), ('en', 'P'), ('reste', 'N'), ('pas', 'ADV'), ('moins', 'ADV'), ('une', 'DET'), ('crème', 'N'), ('super', 'ADJ'), ('agréable', 'ADJ'), ('Malheureusement', 'ADV'), ('présence', 'NC'), ('de', 'P'), ('perturbateurs', 'ADJ'), ('PROPYLENE', 'NPP'), ('GLYCOL', 'NPP'), (',', 'PUNC'), ('PHENOXYETHANOL', 'NPP'), ('et', 'CC'), ('allergènes', 'ADJ'), ('LINALOOL', 'NPP'), (',', 'PUNC'), ('LIMONENE', 'NPP'), ('mais', 'CC'), ('en', 'P'), ('fin', 'N'), (""d'"", 'P'), ('ingrédients', 'NC'), ('donc', 'ADV'), ('en', 'P'), ('quantité', 'NC'), ('faible', 'ADJ'), ('.', 'PUNC')]"
6,"[('remplit', 'V'), ('sa', 'DET'), ('fonction', 'NC')]"
7,"[('Très', 'ADV'), ('bien', 'ADV'), ('pour', 'P'), ('le', 'CLO'), ('connaître', 'VINF'), ('depuis', 'P'), ('longtemps', 'ADV')]"
8,"[('Je', 'CLS'), ('suis', 'V'), ('toujours', 'ADV'), ('fidèle', 'ADJ'), ('à', 'P'), ('ce', 'DET'), ('produit', 'NC'), ('pour', 'P'), ('essayer', 'VINF'), ('de', 'P'), ('lutter', 'VINF'), ('contre', 'P'), ('le', 'DET'), ('dessèchement', 'NC'), ('capillaire', 'ADJ'), ('lié', 'VPP'), ('à', 'P'), (""l'"", 'DET'), ('âge', 'NC'), ('et', 'CC'), ('aux', 'P'), ('balayages', 'NC'), ('.', 'PUNC')]"
9,"[('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('comme', 'P'), ('les', 'DET'), ('miens', 'NC'), (""c'"", 'CLS'), ('est', 'V'), ('le', 'DET'), ('produit', 'NC'), ('idéal', 'ADJ'), ('qui', 'PROREL'), ('évite', 'V'), ('le', 'DET'), ('jaunissement', 'NC'), ('des', 'P'), ('cheveux', 'NC'), ('et', 'CC'), ('en', 'P'), ('grande', 'ADJ'), ('dose', 'NC'), ('tel', 'ADJ'), ('qu', 'ET'), (""'"", 'ET'), ('il', 'CLS'), ('est', 'V'), ('présenté', 'VPP'), (',', 'PUNC'), (""c'"", 'CLS'), ('est', 'V'), ('une', 'DET'), ('utilisation', 'NC'), ('de', 'P'), ('plusieurs', 'DET'), ('mois', 'NC'), ('De', 'P'), ('toute', 'DET'), ('façon', 'NC'), ('tout', 'ADJ'), ('ce', 'PRO'), ('que', 'PROREL'), ('fait', 'V'), (""L'"", 'DET'), ('OREAL', 'NC'), ('est', 'V'), ('au', 'P'), ('top', 'ET'), (':', 'PUNC'), ('ELSEVE', 'NPP'), ('pour', 'P'), ('les', 'DET'), ('cheveux', 'NC'), (',', 'PUNC'), ('MEN', 'NPP'), ('EXPERT', 'NPP'), (',', 'PUNC'), ('NARTA', 'NPP'), ('déodorant', 'VPR'), ('Je', 'CLS'), ('me', 'CLR'), ('sers', 'V'), ('de', 'P'), ('tout', 'ADJ'), ('cela', 'PRO'), ('depuis', 'P'), ('des', 'DET'), ('années', 'NC'), ('et', 'CC'), ('avec', 'P'), ('une', 'DET'), ('entière', 'ADJ'), ('satisfaction', 'NC'), ('Philippe', 'NPP')]"
