;term;0;1;2;3;4;5;6;7;8;9
0;abandonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0034138836132858548
1;abasourdi;0.0;0.0;0.004184551908742778;0.0;0.0;0.0;0.0;0.0;0.0;0.001128757583377179
2;abime;0.0011232514770771456;0.0;0.0;0.006053053885675389;0.0;0.0;0.0;0.007050063846350623;0.0;0.008600445281921292
3;abiment;0.0;0.00043425712000332787;0.0006545526817780446;0.0;0.0;0.0;0.0012302331651149758;0.0;0.0;0.0015133919512453132
4;abimer;0.0026024349583084897;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001892090418360353
5;abimes;0.0023018378033586957;0.0;0.0;0.0;0.0;0.0;0.0;0.007829939337161347;0.0;0.0007167235673099777
6;abimé;0.0;0.0;0.0;0.0;2.5393789840090002e-05;0.0;0.0;0.0019999820217782233;0.0;0.002987594262420468
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0037372659283888892
8;abimés;0.0;0.0;0.004367890789242879;0.0;0.0026687488451659948;0.018720408035060986;0.0;0.0004940449239937756;0.000271765680345565;0.04295573886972095
9;abitude;4.3276660540965766e-05;0.0;0.00028486498207761825;0.00032557548552104707;0.0007256418671852131;0.0;0.0;7.005288530042555e-05;0.0;3.0135117754103382e-05
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010616499059031212
11;abondant;0.0;1.959893921282865e-05;0.0;8.014948296662156e-06;0.0002392602551906866;0.0;0.0;0.0;0.0;0.0017936202272103192
12;abonnement;0.0;0.0085845144145058;0.0;0.012736029479682923;0.0007130395015899557;0.0;0.0;0.0;0.0;0.0
13;abonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010856925138373527;0.0;0.0010403105105398981
14;abonné;0.0;0.0;0.0;0.0;2.6702220558658376e-05;0.0;0.0;0.0005871428285601052;0.0;0.0006073101222755541
15;abordable;0.0008724778745202546;0.022732834589578137;0.0727850953195137;0.0;0.0;0.0;0.0;0.0;0.0;0.00563001545223128
16;abricot;0.00017829465667632433;0.003290439399908842;0.0;0.0;0.0;0.0006979839383888922;0.0;0.0;0.001508360708029307;0.0031307034844101893
17;abricotée;0.0;0.0012318819736725013;0.0;0.0;0.0;0.0004751042849644939;0.0;0.0004884122252807939;0.0;0.0002856401824473841
18;absence;0.0;0.0;0.0;0.0;0.00645440551300506;0.0;0.0;0.0;0.0;0.0008672641660277956
19;absolut;0.0;0.002298525688356907;0.0;0.0;0.0012106681086993352;0.001807465038376574;0.0;0.0;0.0;0.018875851779577287
20;absorbant;0.0;0.0;0.0;0.0;0.0;0.0011814282576063152;0.0;0.0;0.0;0.001054666526801168
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5757439803779936e-153
22;absorbe;0.0;0.0;0.0;0.0;8.482122314469058e-05;0.0021422020629323305;2.7026060180303837e-05;0.0;0.0;0.0003537678138399386
23;absorber;0.0;0.00047638840525872226;0.0;0.0;1.567193735927619e-05;0.00033767289957465545;0.0;0.00043717878449915046;0.0;0.0005935847160796294
24;absorbé;0.0;0.0;0.0;0.0;0.0;5.529299003282192e-05;0.0;0.001019068679032601;0.0;0.0005513467039092486
25;absorbée;0.0;0.009349423913659142;0.0;0.0;8.102085389580046e-05;0.010115432878988832;0.0;0.0;0.0;0.001606880475095822
26;absorption;0.0;0.0;0.0;0.0;0.0;0.003301764312770035;0.0;0.0;0.006484135742393652;0.0
27;abstenir;0.0;0.0;6.144621911354705e-06;0.00013859120700106118;0.0;0.0;4.717075996697362e-05;1.3215609770419404e-05;0.0;0.0005307402094788272
28;abusé;0.0;0.0;0.0027500646788175946;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;abîme;0.002596318789352543;0.0;0.0;3.106558405574935e-05;0.00042185180407880153;0.0;0.0;0.002564604141535686;0.0;0.003070048262916817
30;abîmer;0.0229268998851787;0.0;0.022712515840112007;0.016847322979120713;0.0008909841719106107;0.025675192913640028;0.0;0.025383354913078176;0.0011795730798725595;0.07270990173606903
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.004374704171978394;0.0;0.006100554333253577;0.0;0.000774175836963087
32;abîmé;0.003942382868115638;0.0031548871356616754;0.0;0.009642682604133939;0.0;0.000468062165702549;0.0;0.0;0.002593080745992263;0.014352663227408713
33;acaht;0.0;0.0;0.0;0.0;0.0;0.0001815918198764142;0.0;0.003274360293814382;0.0;0.0
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.0019898521251678672;0.0030511685477266895;0.0;0.003284078703919282
35;acceptable;0.0;0.0;0.0036356669593042095;0.0;0.0;0.0;0.0;0.0;0.007698765361849002;0.0
36;accessible;0.0;0.0;0.012269013149796362;0.0;0.0;0.0005299326297825544;0.0;0.0;0.009949413928425584;0.004849229499320824
37;accessoire;0.0;5.1811837229833024e-05;0.0004387145201232383;0.0;0.0;0.0;0.0;0.0;0.0;0.0009584910653027072
38;accompagne;0.0;0.0;0.0;0.00022951501031996514;0.0;0.00041890088592260464;3.136760824121688e-05;0.0;0.0;0.0008336007888624317
39;accompagner;0.0002776377167950816;0.0;0.0;0.0016661373869390989;0.005743421495251169;0.006666440933680769;0.0;0.004661259307444237;0.0;0.008523045254866867
40;accord;0.0;0.001371013155373081;0.0;0.007456706702736734;0.00012312738484544281;0.0;0.0;8.637216743120866e-05;0.0;0.0005478602937145223
41;accorde;0.0;0.0;6.155149406839994e-06;0.0;0.0;1.7444449047923443e-05;5.289587336824771e-07;0.0;0.0;6.932581852544824e-05
42;accorder;0.0;0.0;0.0;0.0;0.0001962101103053903;0.0;4.652933165742281e-07;0.0008125711391953263;0.0;0.0003362688211755898
43;accouchement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000562486234764409;0.0;0.0010351260215950115
44;accoucher;0.0;0.0;0.00046062773507628296;0.0;0.0;2.223399592845617e-05;0.0;0.0;0.0;0.00034149669500253187
45;accro;0.0;0.0;0.0;0.0008414434765996218;0.0;0.0010739645414570341;0.0;0.0;0.0;0.0006439937652780246
46;accroche;0.0;0.0;0.0;0.0;0.0;0.001299402652021269;0.006547709109660939;0.0;0.0;0.0033519997775158543
47;accrochent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011537180401110603
48;accueil;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006482228256312285
49;accès;0.0;0.0;0.0;0.0;1.86285407092801e-05;0.0;0.0;0.0034535941582634158;0.0;0.0005004295795973075
50;accélérer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009312874605519167
51;ach;0.0;0.0;0.0;0.0;0.0;0.0;6.305452808428513e-05;0.0;6.825620140734664e-05;0.002806052228925884
52;achat;0.0;0.006764655998392797;0.035341855382967434;0.006569351127682288;0.07114081065568233;0.013459597868777333;0.0;0.11266727004717249;0.004003730682526195;0.036252692335561075
53;achats;0.0;0.0012190072714063074;0.0;0.0;0.0;0.000983226717284318;0.0;0.0;0.0;0.0003521972004034473
54;ache;0.0;0.0;6.924720899037371e-05;0.0001678586135644363;0.0;0.0;1.4263690454728886e-06;0.0002646693285116402;0.0;0.00033798390439760854
55;acheminement;0.0012360374144099967;0.0;0.002038765911347228;0.0;0.0;0.0;0.0;0.0;0.002615361720516672;0.0
56;achetais;0.0007714928977946901;0.0;0.004778385489589673;0.005871313991405521;0.0;0.0;0.0;0.0;0.0;0.006888840405475996
57;achete;0.0;0.0;0.0;0.0;0.017926771618709796;0.0;0.0;0.0;0.0;0.006593869487915601
58;acheter;0.0;0.0;0.025489275751621594;0.003765191674343073;0.011840811678849981;0.012369248685331133;0.019024089208353356;0.0671439777873652;0.0;0.1556373118398734
