;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
0;abandonner;0.0;0.0;0.0;0.0;0.0001512025131410744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.386875306076188e-05;0.0026497218863903316;0.0
1;abasourdi;0.0;0.006863149161499773;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;abime;0.0013278137553685762;0.0;0.0;0.0;0.0;0.013276783772953016;0.0;0.0;0.011836527062470681;0.0;0.015593242571845673;0.0;0.0;0.0;0.0011031291167141045
3;abiment;0.0;0.000997740098939599;0.0;0.0;0.0;0.0;0.0;0.0;0.00104621463739055;0.0;0.0;0.0;0.0;0.0013114179089901469;0.0012784544254038108
4;abimer;0.0021638887670038355;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004839488845948545;0.0
5;abimes;0.0026730048805459474;0.0;0.0;0.0;0.0;0.009403897220677878;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0020481510593301374;0.0
6;abimé;0.0;0.0;0.0;0.0;0.00012863672596659698;0.0;0.0;0.0;0.0007450144653929451;0.0;0.0005314412927488333;0.00014551650902775798;0.0002068104982222789;0.004429288788204382;0.0
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010495173329372552;0.0
8;abimés;0.0;0.0024576020707557074;0.0;0.0;0.0020964308632902538;0.0;0.0;0.022017864247940454;0.0;0.006504751030638025;0.0;0.007528685901773453;0.0;0.07779722741286603;0.0
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012866283161737112;0.0;0.0;0.0
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00024762922293306326;8.945625495951459e-05;0.0004158081606832233;0.0011400908951574578;0.0002806833637130583
11;abondant;0.0;0.0;0.0;0.0;0.00015542579156367357;0.0;0.0;0.0;0.0;0.0;0.000611391368673187;0.0004778128742982843;0.0;0.0009147861371578768;0.00217198371644134
12;abonnement;0.0;0.0;0.0044364205855683455;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0219814609225796;0.0;0.0;0.006747975472652528
13;abonner;0.0;0.0;0.0;0.0;0.0;2.624244954961498e-05;7.71914607660187e-06;0.0;0.00014152130382416955;8.432501167889307e-05;0.00047001598465399506;6.391531186941083e-05;0.0;0.0004897592150629778;4.9977886811608853e-05
14;abonné;0.0;6.329023814324312e-05;0.0;0.0;5.8182631276986834e-05;0.0;0.0;0.0;0.00014412496124729338;0.0;0.00020414678144403626;0.0001433473609891626;7.883999660952424e-05;0.00030024031179958757;4.3347685632401084e-05
15;abordable;0.0007519465570811788;0.11746245750485103;0.014268638633946413;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001862838002968809;0.005806824162658059;0.0;0.0;0.003782237864538276
16;abricot;0.0;0.0;0.0006900607316938678;0.00210073628321683;0.0;0.0;0.001500627712440782;0.0;0.0;0.0;0.016050182672107654;0.0;0.0;0.00021111588471819505;0.0
17;abricotée;0.0;0.0;0.0003590547729128669;0.0012262812832026142;2.1506747488128847e-06;2.2584804306639915e-05;0.0;0.0;0.0;0.0;9.010939528998897e-05;0.0;0.0012080783117000358;0.0005266337905255136;0.0
18;absence;0.0;0.0;0.0;0.0;0.0064131064129485885;0.0;0.0;0.0;0.0;0.0;0.0005704262119354829;4.900790562648203e-05;0.0;0.0003704724430738358;0.0006730298057192218
19;absolut;0.0;0.0;0.0005573832857212892;0.0;0.0011949499086188282;0.0;0.0;0.001455101133086591;0.011531053151112004;0.0;0.0;0.0;0.002533082271874648;0.030233945031971014;0.0
20;absorbant;0.0;0.0;0.0;0.0020314724972663877;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0032353809440724933
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.852925634392736e-108
22;absorbe;0.0;0.0;0.0;0.00491554426880334;8.854493723440067e-05;0.0;0.0;0.0;6.164964019440445e-05;0.0;0.0;1.017637200348255e-05;0.0;0.0;0.0004380355255122057
23;absorber;0.0;0.0;0.0;0.0010340307214235104;3.169132210071728e-05;0.0;0.0;0.0;0.0004637857637759998;0.0;3.783097052972267e-05;0.00017757211173801047;5.313077481242993e-05;0.0005557863052956095;1.4376030746379044e-05
24;absorbé;0.0;0.0;0.0;0.00016368892106011617;0.0;0.0;0.0;0.0;1.3069176513955289e-05;0.0;0.0;0.0;5.2322468485580135e-05;0.0003478068561078065;0.0009382524915234811
25;absorbée;0.0;0.0;0.0;0.02493022534106648;2.1541156213388165e-05;0.0;0.0;0.0;0.0;0.0;0.0037472807656225124;0.0;0.0031732804026128702;0.0007843439813708194;0.001962407572899494
26;absorption;0.0;0.0;0.0;0.0076310485513932675;0.0;0.0;0.006803371968122037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;abstenir;0.0;6.444994820810165e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003105457773600457;0.0;0.0;0.0;0.0005373756752084263;0.0003525128641920722
28;abusé;0.0;0.00407211363537974;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.107176080744751e-05;0.00020092683511617061;0.0;0.0;0.0
29;abîme;0.0019002948870321158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007099629678481705;0.0;0.0007717397938482171;0.013751809977773947;0.0;0.0003390859030841884;0.0
30;abîmer;0.025361629014011837;0.033891625198986364;0.0;0.0;0.0017126076931339468;0.008479004452224348;0.0;0.02814537965905016;0.001938414222541456;0.008135161014798543;0.013491087550974354;0.0;0.0;0.1273588681720807;0.00901593911693389
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005978580072685891;0.00156416570445644;0.0;3.630505327427007e-05;0.0;0.0;0.0016898555174091456;0.00016121641954102632
32;abîmé;0.00269557469361015;0.0;0.0018777566564393507;0.0;0.0;0.0;0.0008259647286963524;0.0;0.0;0.0;7.668807662015062e-06;0.0026418022824914187;0.0;0.03461492048926312;0.0
33;acaht;0.0;0.0;0.0;0.0006283750653124643;0.0;0.00547606258296446;5.1475554881911656e-05;0.0;2.8270535138667163e-05;0.0;0.0;0.0;9.528088925279e-05;0.0;0.00019533898197702428
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008382575471476288;0.0;0.0;0.0;0.0;0.0;0.0
35;acceptable;0.0;0.005354304758856444;0.0;0.0;0.0;0.0;0.00824302380110386;0.0;0.0;0.0;0.0;0.00010161640428354894;0.0;0.0;0.0
36;accessible;0.0;0.01745053136040471;0.0003563537952183902;0.0;0.0;0.0;0.011014476285334506;0.0011020829153709079;0.00855639212887612;0.0;0.0;0.006297158625926005;0.0;0.0017657487420099848;0.0
37;accessoire;0.0;0.0005745058021893085;0.00010892095854082218;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00015061354976787843;7.671088762576656e-05;1.0764058627802751e-05;0.0009863722761855108;0.0006567010122351163
