;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
0;abandonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.708777344494142e-06;0.0017328548955292762;0.0;0.0021416772593699984
1;abasourdi;0.0;0.0069022723789992175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00012908359534816532
2;abime;0.0013554633439849689;0.0;0.0;0.0;0.0;0.01331491669342394;0.0;0.0;0.011955066072867965;0.0;0.016403656653449863;0.0;0.0;0.0;0.001284982000763546;0.0
3;abiment;0.0;0.001036284286473199;0.0;0.0;0.0;0.0;0.0;0.0;0.001072557432303427;0.0;0.0;0.0;0.0;0.0012562172044832797;0.0013272754045696629;0.0
4;abimer;0.0021783013942626517;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005112274326137615;0.0;0.0
5;abimes;0.002691519929647496;0.0;0.0;0.0;0.0;0.009480117234781442;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00195372805008134;0.0;0.0
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005369655571564492;0.0;2.4704432126171735e-05;0.0;1.1994528062031718e-05;0.0035325356832201986;0.0;0.004694589186918066
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010980670434087517;0.0;0.0
8;abimés;0.0;0.003498682497009111;0.0;0.0;0.0024387770347380506;0.0;0.0;0.02190326442312627;0.0;0.006846242072667946;0.0;0.007959818585431063;0.0;0.07906834160918355;0.0;0.0018302895786926933
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012813485063024058;0.0;0.0;0.0;0.0
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001643840327085317;1.798085830197906e-05;0.000383972222090427;0.0006862381530367228;0.00030219257502663976;0.0010747231936848367
11;abondant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013954755563904636;0.00948970133524567
12;abonnement;0.0;0.0;0.004411361499562914;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021554390055886028;0.0;0.0;0.00672903772247754;0.0010552476014469893
13;abonner;0.0;0.0;0.0;0.0;0.0;3.584903120946703e-05;1.2397077626334683e-05;0.0;0.00016424196785619675;9.114880722460853e-05;0.0005258678141627107;8.486822813908986e-05;0.0;0.00040609707164224814;7.413148174320307e-05;2.871066688491954e-05
14;abonné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7098160897664848e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.00224805326529293
15;abordable;0.0004616343671511317;0.11758147401988973;0.013926919253411461;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000154219679593694;0.004014809044210909;0.0;0.0;0.0032284303090373834;0.015396793763660543
16;abricot;0.0;0.0;0.0007310530049060471;0.002149998593840091;0.0;0.0;0.0015438888399418214;0.0;0.0;0.0;0.016829473296397553;0.0;0.0;6.56476137697642e-05;0.0;0.0
17;abricotée;0.0;0.0;0.00035691281500306116;0.0012311682902718351;0.0;2.685764475617528e-05;0.0;0.0;6.768040445434864e-06;0.0;0.00010900815812191757;0.0;0.0012061970959504826;0.00039531053713784615;0.0;0.0003082352306553745
18;absence;0.0;0.0;0.0;0.0;0.005218139806193375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010596417678833736
19;absolut;0.0;0.0;0.0006412383311529257;0.0;0.0014487122457182272;0.0;0.0;0.0015357309724979282;0.012131168190987895;0.0;0.0;0.0;0.002818683269106261;0.03013049905206272;0.0;0.0
20;absorbant;0.0;0.0;0.0;0.0020432535494123998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003276677940033406;0.0
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3509958941916816e-88
22;absorbe;0.0;0.0;0.0;0.004845119035236632;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002603402821580637;0.0018137364718325342
23;absorber;0.0;0.0;0.0;0.0010133857760647267;0.0;0.0;0.0;0.0;0.00038813835191899135;0.0;0.0;0.0;0.0;0.0001657132802574782;0.0;0.001850500672517848
24;absorbé;0.0;0.0;0.0;0.00017052044842425716;0.0;0.0;0.0;0.0;1.3972956132147651e-05;0.0;0.0;0.0;5.7356832236002516e-05;0.00020237863644852628;0.0009297257365096486;0.0003505309819512498
25;absorbée;0.0;0.0;0.0;0.024960668101217925;0.0;0.0;0.0;0.0;0.0;0.0;0.003601795392852716;0.0;0.003081328230496015;0.0;0.0016842277741504984;0.004293901269571115
26;absorption;0.0;0.0;0.0;0.007686560031653628;0.0;0.0;0.006840948501996963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;abstenir;3.92435215899035e-06;2.5617125974353743e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00031822995125767414;2.2610418290812026e-06;0.0;0.0;0.0004834257421372427;0.000403750377439636;0.0
28;abusé;0.0;0.004001200108657143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9021229549877972e-05;0.0;0.0;0.0;0.001267886831200706
29;abîme;0.001904799278225183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007143491971641062;0.0;0.0007878322718665636;0.013530364241103533;0.0;0.0002607998472621576;0.0;0.0006982423368742904
30;abîmer;0.025854636911214007;0.03610248142024226;0.0;0.0;0.002753134701185457;0.009362655839694397;6.103707590679146e-05;0.028071449702832416;0.002504116159724486;0.008780621622098002;0.015324883516660648;0.0;0.0;0.12685053877666985;0.011248848605508066;0.0
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005954981653674736;0.0016274266363710652;0.0;7.367299766932185e-05;0.0;0.0;0.0015968521955449827;0.00021016747720692822;0.0
32;abîmé;0.002544985696154934;0.0;0.001643653211407859;0.0;0.0;0.0;0.0006029421509348638;0.0;0.0;0.0;0.0;0.0005919134226015457;0.0;0.030976666771018985;0.0;0.017396658570270812
33;acaht;0.0;0.0;0.0;0.0006322917454919595;0.0;0.005486324163213818;5.144154099403182e-05;0.0;2.9876918465050112e-05;0.0;0.0;0.0;8.708552374351646e-05;0.0;0.0001902425005087132;0.0
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008422795839251734;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;acceptable;0.0;0.005405706691476668;0.0;0.0;0.0;0.0;0.008287790156921552;0.0;0.0;0.0;0.0;0.0001249414412890133;0.0;0.0;0.0;0.0
36;accessible;0.0;0.017655063677309617;0.0003833561444721607;0.0;0.0;0.0;0.011104140643611779;0.0011967548485212222;0.008733189628459263;0.0;0.0;0.006224958127963184;0.0;0.0006766895929130063;0.0;0.0012370091015072027
37;accessoire;0.0;0.0005683793252869321;0.000104169896706025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.499870333330809e-05;8.168889725365381e-06;1.4864916584348162e-05;0.0006202286466834841;0.0006056008826939416;0.0009431617241654507
38;accompagne;0.0;0.0;0.0;0.001330430624148832;0.0;0.0;0.0;0.0;0.0;0.0;0.0010527954923713928;0.0;0.0;0.0;0.0010071998337195637;8.531688862181625e-05
39;accompagner;0.00045714008454805083;0.0;0.000401573054335128;0.0;0.0054215473251788306;0.010728948509274316;0.0;0.009564256004755677;0.0071532504243662;0.0;0.0;0.009671527160224182;0.0;0.004393654520682864;0.0;0.0
40;accord;0.0;0.0;0.0013140175320679522;0.0009393312292713361;0.0;0.0;0.0;0.0;0.0;0.0;0.002438760855935383;0.0;0.0009131570306061103;0.0;0.000406556858465266;0.009845508377197172
41;accorde;0.0;7.523920246986925e-06;0.0;0.0;0.0;0.0;0.0;1.6291307985080117e-05;0.0;8.092448642305351e-07;7.342555696748671e-05;0.0;0.0;4.126809743266205e-05;4.469762977510975e-05;4.726260945837667e-06
