;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
0;abandonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.496658488224726e-05;0.0011829745962116157;0.0;0.001003652930821267;0.0025705345970117957
1;abasourdi;0.0;0.006964712945765743;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00012065764121906909
2;abime;0.0013522203640080183;0.0;0.0;0.0;0.0;0.013411841257363595;0.0;0.0;0.011966137075844055;0.0;0.01743284602556801;0.0;0.0;0.0;0.00148229738499582;0.0;0.0
3;abiment;0.0;0.001100529815968217;0.0;0.0;0.0;0.0;0.0;0.0;0.001067730906966022;0.0;9.360361986929301e-06;0.0;0.0;0.0;0.0014014670044096471;0.0029458960497866418;3.627438658413935e-08
4;abimer;0.002170849897598208;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008627031504080762;0.0;0.0;0.0
5;abimes;0.0026883218008669457;0.0;0.0;0.0;0.0;0.009461299236980655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003497376579303584;0.0;0.0;0.0
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005326015799705957;0.0;2.5954290636565713e-05;0.0;8.488409141825087e-06;0.003174307729264189;0.0;0.0027336013407983314;0.004956509006642653
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008633086537576252;0.0;0.010964594071651842;0.0
8;abimés;0.0;0.004738131918144898;0.0;0.0;0.002514373281732916;0.0;0.0;0.02262818223625682;7.231974711531281e-05;0.007392032114357851;0.0;0.008730286577959481;0.0;0.05720950073451443;0.0;0.0815522584911265;0.002257810398304535
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013033747343705089;0.0;0.0;0.0;0.0;0.0
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00017051196729055032;7.769507837341935e-06;0.00040689300920422513;0.0007248856239539145;0.00035425301503409106;5.842535292526818e-05;0.001228320226549375
11;abondant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001452961152447032;0.0;0.009784642228642502
12;abonnement;0.0;0.0;0.0044260105856493365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02192193701808696;0.0;0.0;0.006916877845037294;0.0;0.0010594194686080521
13;abonner;0.0;0.0;0.0;0.0;0.0;3.209342205405009e-05;1.1366809320955535e-05;0.0;0.00016767293014531733;8.640478806896154e-05;0.0005318808565712235;8.026782558078116e-05;0.0;0.0006192581857332792;8.451086960877288e-05;0.0;4.256554558716832e-05
14;abonné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6631907340529147e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0023420838106517103
15;abordable;0.0004515646003146128;0.11857180728392844;0.013960566926693152;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00019250985520038696;0.004063109719947399;0.0;0.0;0.0033584591563284778;0.0;0.016098320994529756
16;abricot;0.0;0.0;0.0007241864287015911;0.0022092170207257916;0.0;0.0;0.0015617513210141017;0.0;0.0;0.0;0.017810095818484882;0.0;0.0;0.0003693696177769589;0.0;0.0;0.0
17;abricotée;0.0;0.0;0.00035433719043450696;0.0012754439137678277;0.0;1.7824733118847334e-05;0.0;0.0;5.4576026202392655e-06;0.0;8.478496774105046e-05;0.0;0.0012698680878515973;0.0006359025723531215;0.0;0.0;0.0003244909663063335
18;absence;0.0;0.0;0.0;0.0;0.005225166283044151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01083112924886547
19;absolut;0.0;0.0;0.0006572761195583154;0.0;0.0014792173090283976;0.0;0.0;0.0014761178861116293;0.012345668867139671;0.0;0.0;0.0;0.0030853346549090726;0.03285550706250619;0.0;0.015976228856445403;0.0
20;absorbant;0.0;0.0;0.0;0.0020684201795585695;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0033921267650183933;0.0;0.0
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.32735765303376e-237
22;absorbe;0.0;0.0;0.0;0.004880838403934385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002627459170149968;0.0;0.0018480576484806968
23;absorber;0.0;0.0;0.0;0.001034425875494758;0.0;0.0;0.0;0.0;0.0003658105117999169;0.0;0.0;0.0;0.0;0.00034272179756411077;0.0;0.0;0.0019376868233023465
24;absorbé;0.0;0.0;0.0;0.0001733384407611526;0.0;0.0;0.0;0.0;1.5723506895440456e-05;0.0;0.0;0.0;6.186525578403082e-05;0.00012751953384026652;0.0009899234039772663;0.00010519272091333621;0.0003954629122021553
25;absorbée;0.0;0.0;0.0;0.025284470706995823;0.0;0.0;0.0;0.0;0.0;0.0;0.0037708998451523967;0.0;0.003216798765224911;0.0005694757041321727;0.0017042529897396202;0.0;0.0044635570248192456
26;absorption;0.0;0.0;0.0;0.007765447483942963;0.0;0.0;0.006941174359529981;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;abstenir;8.016465173422616e-06;3.985861502817181e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00032805971740486713;2.207394996043767e-05;0.0;0.0;0.0002975792071489789;0.00046767258028845924;0.00035687846014783865;0.0
28;abusé;0.0;0.004031290998246446;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.895550142359459e-05;0.0;0.0;0.0;0.0;0.0012970565925804302
