;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
0;abandonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006752892827592122;0.0;0.0017288886342743765;0.0006518844420635658;0.0014332716796418975
1;abasourdi;0.0;0.0070070408158388045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002144195410053054
2;abime;0.0010302914575200193;0.0;0.0;0.0;0.0;0.013148807183450757;0.0;0.0;0.010709688067239626;0.0;0.01617374171313223;0.0;0.0;0.0;0.0;0.009257959025768854;0.0;0.0
3;abiment;0.0;0.0009667752434038007;0.0;0.0;0.0;0.0;0.0;0.0;0.0009967573945561241;0.0;0.0;0.0;0.0;0.0;0.0011556089657600078;0.0011014859233656144;0.0023406265231237975;0.0
4;abimer;0.0022341196688972585;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009462579416980043;0.0;0.0;0.0;0.0
5;abimes;0.0026321508768532694;0.0;0.0;0.0;0.0;0.009280657302205293;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00019430777473574144;0.0;0.002972808943918222;0.0;0.0
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7118456557503246e-05;0.0;0.0;0.0;0.0;0.0020521350917755317;0.0;0.004032411252676908;0.002196859511939981;0.0045329694639312575
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009717742195975093;0.0;0.0;0.009587325953762372;0.0
8;abimés;0.0;0.00617905171397431;0.0;0.0;0.002552432249029231;0.0014820023798525009;0.0;0.02284283314208208;0.0009220446889260039;0.007852741033023707;0.0;0.009146922101117118;0.0;0.062085783534169055;0.0;0.0;0.07032625297421398;0.005511701672449333
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012956566773266027;0.0;0.0;0.0;0.0;0.0;0.0
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.097224388961336e-05;0.0;0.0;0.003069417294826786;0.0;0.00016969031680430432
11;abondant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0036019775639720268;0.0;0.010796165994632142
12;abonnement;0.0;0.0;0.004517040234945639;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022033220514850085;0.0;0.0;0.008467070527388357;0.0;0.0;0.0019991013048223953
13;abonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.314195508464364e-05;0.00016933191403200874;0.0;0.0;0.0;0.0;0.0015724722013840582;0.0;0.0
14;abonné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008049972037508261;0.0;0.00248535000290572
15;abordable;0.0004800018641359669;0.11959276849929593;0.014144286355581138;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004365994693676182;0.0;0.0;0.005922456564310398;0.0008835828091453714;0.0;0.020358127561679012
16;abricot;0.0;0.0;0.0007515586529195904;0.0024663598981225316;0.0;0.0;0.0015544067329070928;0.0;0.0;0.0;0.01848218928105709;0.0;0.0;0.00046508042522116875;0.0;0.0009386661765870212;0.0;0.0
17;abricotée;0.0;0.0;0.0003226836914431773;0.0010692236539698056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011952772464839296;0.0;0.0;0.001249480077419222;0.0;0.0002795802091579858
18;absence;0.0;0.0;0.0;0.0;0.005345639529219876;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00013181703002543247;0.0;0.012917119924561994
19;absolut;0.0;0.0;0.0007269945890891494;0.0;0.0014692076013927582;0.0;0.0;0.0017515673817552798;0.013006050311369663;0.0;0.0;0.0;0.003173578590262507;0.029234231324559466;0.0003811921969336039;0.004040715554653168;0.014032650798862109;0.0006537675470987913
20;absorbant;0.0;0.0;0.0;0.0021049383760469898;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.546701535379047e-05;0.0;0.0;0.0034817653192058475;0.00024556399364631027;0.0;0.0
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.761749460443964e-129
22;absorbe;0.0;0.0;0.0;0.0049537159907336835;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005289579005208994;0.0;0.0001607323358274749;0.0025005428560825795
23;absorber;0.0;0.0;0.0;0.0008680962913570641;0.0;0.0;0.0;0.0;0.0002069023799355204;0.0;0.0;0.0;0.0;0.0;0.0;0.0011766604408838194;0.0;0.0019993588475806863
24;absorbé;0.0;0.0;0.0;3.582946924106797e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00044594315147944576;0.0014790425804857127;0.0;7.718362837344507e-05
25;absorbée;0.0;0.0;0.0;0.025481106523991177;0.0;0.0;0.0;0.0;0.0;0.0;0.004612358750744825;0.0;0.003296682825200526;0.00020588671512703684;0.0027629737707900023;0.0;0.0;0.00550534759905223
26;absorption;0.0;0.0;0.0;0.007735718665820027;0.0;0.0;0.006958322797689659;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
