;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
0;Tres nkn schampoing;0.0;0.0;0.00016437587496858313;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.543492135123773e-05;3.448888747898358e-05;0.0;0.00010763534527696828;0.0;0.000365463249045798;4.1383169701829005e-05;0.00018152956605676436;0.0
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.00034109383519085397;4.814920512190915e-05;0.00016675351045582616;0.0007223337974581979;0.0;0.00012088657123351478;0.0007253676959802791;0.00037966316314827096;0.0008646031032997925;0.0;0.0005607489884833954;0.0;0.0;2.6330682411614952e-05;0.0;0.0030514988797371947;0.0;0.00028780262935637846;0.0
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;0.00014248584933461265;0.0;0.0;0.001971205608048396;0.0003690040807960727;0.0007037202514830998;0.0007722634707330655;0.0;0.003740575571530533;0.06491831751578861;0.00750179074350133;0.005469119647136638;0.003602031238046279;0.0006009332872807898;0.05759039938151716;0.05143578617261846;0.0;0.009452306743728319;0.0
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.0009310280877357768;3.815013245238557e-05;0.05048568957671048;0.004790697890354544;0.0;0.0005494605416984854;0.0026905581024050194;0.054985204087316476;0.0033286669490786877;0.0029551330337937113;0.00026965899865598493;0.0013091936603922027;0.001804704918859478;0.021545550359495402;0.0;0.01974808210290385;0.007127189701189991;0.0013702140251278842;0.0
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0;0.0;0.0;0.05533107017234559;0.0;0.05552839828420342;0.0;0.0;0.0;0.0;0.004763195082101393;0.06792519867956201;0.003520893675374985;0.0;0.01666147745358876;0.023763887032691812;0.0;0.0;0.0
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.00010840822451766982;0.0;0.0012516297327050294;0.0;0.0;0.0011266883991599714;0.0024242858329722046;0.0;0.0;0.0006358101233439797;0.0;0.0;0.0003882284880724995;0.0034234186120403838;0.0;0.024797488489602577;0.0009043355430506593;0.004251644946724792;0.00032313423869889614
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.0002678975453050994;0.00010810671240123685;0.0;0.008594658907259084;0.00011414083283530151;9.988386628834789e-05;0.0012785459537077717;0.0;0.003046321695343778;0.003803334305364519;0.014378209006470586;0.0;0.0021639487217788808;0.0;0.003022908663036691;0.002010527984995063;0.004822690956762128;0.04806633380690785;0.0
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;6.234551400671709e-05;0.0;0.11324491743458308;0.001707357260028352;0.0;0.0008724016431742478;0.0019548623165232624;0.0;0.0019478820383169544;0.0030720509389478338;0.0;0.0017972892815469239;0.0;0.017771792400148225;0.020054076294180448;0.008317025020773455;0.007029236620361498;0.0;0.2452258771659503
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;7.118610017700588e-05;0.0;0.008328043501301173;0.013682944688447024;0.0;0.0005617020426722985;0.0;0.001015859570913554;0.0;0.0;0.0;0.0;0.0027511990463386115;0.0;0.0;0.03817806750146586;0.0012811542886870635;0.0;0.0
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.0001773229200068305;0.0;0.0;0.007501718728254405;0.0;4.61491447975946e-05;0.0;0.0;0.0;0.0;0.0037431931802385777;0.0;0.0006364460292250031;0.014249750694061767;0.0;0.009280870599954005;0.0;0.0006011395354945861;0.0011524144156596766
