;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
0;abandonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005989132586158626;0.0;0.001785496578445946;0.0005982513365485625;0.0013329979000505175;0.0
1;abasourdi;0.0;0.00701124748295289;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001705446268046462;0.00039749553849198715
2;abime;0.0010062735198570567;0.0;0.0;0.0;0.0;0.013253622768907531;0.0;0.0;0.010744013793612941;0.0;0.016616077457766002;0.0;0.0;0.0;0.0;0.009334713690416274;0.0;0.0;0.0
3;abiment;0.0;0.0010146843357693419;0.0;0.0;0.0;0.0;0.0;0.0;0.0010229398333362616;0.0;0.0;0.0;0.0;0.0;0.0012101837189321507;0.000899114319307037;0.0021830906012978465;0.0;0.0
4;abimer;0.002240226085080986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009224071809601816;0.0;0.0;0.0;0.0;0.0
5;abimes;0.002574410640461542;0.0;0.0;0.0;0.0;0.009168558310316419;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0039376127245863805;0.0;0.0;0.0
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.088448421678655e-05;0.0;0.0;0.0;0.0;0.001947666778063798;0.0;0.0038697105157136707;0.0020319051684077774;0.004059320856249114;0.0
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009466610906543405;0.0;0.0;0.008857279502564324;0.0;0.0
8;abimés;0.0;0.006165252386879618;0.0;0.0;0.0025701958990839296;0.0015808026107590745;0.0;0.02268091810455461;0.0009131865614529083;0.007839592475023227;0.0;0.009113418494759721;0.0;0.06030186854242089;0.0;0.0;0.06498137053439747;0.004881901805494974;0.0
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012924546400917905;0.0;0.0;0.0;0.0;0.0;0.0;0.0
