;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
0;abandonner;0.0;0.0;0.0;0.0;0.0;0.0;1.7058249797709178e-05;0.0;0.0;0.0;2.9446352152776722e-05;0.0;0.0001322000681990178;0.0014696611241066624;0.0;0.0;0.0010255654828081283;0.0027496152018655954;0.0;0.0
1;abasourdi;0.0;0.007046654898436161;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004652487611431991;0.0;0.00013614059119000915;0.0;0.0
2;abime;0.0010987004016204023;0.0;0.0;0.0;0.0;0.013663649754894048;0.0;0.0;0.01154547645381025;0.0;0.017240085670505254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009113848333403831
3;abiment;0.0;0.0010407101156770027;0.0;0.0;0.0;0.0;0.0;0.0;0.001077330967290327;0.0;0.0;0.0;0.0;0.0;0.0011925587255503765;0.0;0.0024520155318272425;0.0;0.0;0.0010297271823735247
4;abimer;0.0022242254566641924;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009908605177109868;0.0;0.0;0.0;0.0;0.0;0.0
5;abimes;0.0024919653473476234;0.0;0.0;0.0;0.0;0.00835242577371932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00938495899633582;0.0
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004024404105258941;0.0;0.0;0.0;0.0;0.0023002425064768384;0.0;0.00025480907405786617;0.0023035097865340406;0.005295791947395467;0.002168750748363474;0.00105110118744427
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010044379414142131;0.0;0.0;0.00948974989522708;0.0;0.0;0.0
8;abimés;0.0;0.005619941878452627;0.0;0.0;0.002548507395955066;0.0015063813971013962;0.0;0.022478227595278576;0.000862093935958255;0.007620239464905606;0.0;0.009032271954354746;0.0;0.06503686583577964;0.0;0.0;0.07044741436932717;0.005132371744859714;0.0;0.0
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012909480705932504;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2973537313263637e-07;0.0002699935507937795;0.0004405524199537738;0.0;0.0;1.3956735138198245e-05;0.000868653814141311;0.00010010824552828326;0.0018696391799175515
11;abondant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006827384830564694;0.0;0.010793477493658355;0.0;0.0006434599550700785
12;abonnement;0.0;0.0;0.004516715194808535;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021808696691990516;0.0;0.0;0.008396917959998399;0.0;0.0;0.0020474399478619836;0.0;0.0
13;abonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.3944040691840615e-05;0.00023595140603159916;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0015013414433000004;0.000487736990222727
14;abonné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00022327596023471143;0.0;0.0026494560179708758;6.691348117417921e-05;0.00035609790663224984
15;abordable;0.00025775602621022186;0.12040565035650225;0.014029849327353901;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004088147616693784;0.0;0.0;0.005574817934320928;0.0;0.0;0.021513282347444585;0.0;0.0043045670355051574
16;abricot;0.0;0.0;0.0007950096921245816;0.0026242811152154557;0.0;0.0;0.0016086937942698838;0.0;0.0;0.0;0.019883478358461902;0.0;0.0;0.0008701734441156175;0.0;0.0;0.0;0.0;0.0;3.7025621490287075e-05
17;abricotée;0.0;0.0;0.0003363064786430871;0.0010933277522418947;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012554531216058807;0.0;0.0;0.0;0.0;0.00032941580069494015;0.001588325086831224;0.00031579730966797365
18;absence;0.0;0.0;0.0;0.0;0.0054236763142163314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00662928268571721;0.0;0.012383902069829976;0.0;0.0
19;absolut;0.0;0.0;0.0006514737916939203;0.0;0.0014236996622128749;0.0;0.0;0.0014403892650063268;0.01220488019321377;0.0;0.0;0.0;0.003235487689067012;0.03014969202895756;0.00020999221725054816;0.0;0.013765466123438406;0.0002567967973435593;0.011390026496516364;0.0
20;absorbant;0.0;0.0;0.0;0.002195688746562586;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4471513009651214e-05;0.0;0.0;0.0036544564125603426;0.0;0.0;1.4346799633178966e-05;0.0;0.0
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.600133614688093e-250
22;absorbe;0.0;0.0;0.0;0.005045579694915914;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005681407835439029;0.0;6.0588028410193336e-05;0.002498155135649534;0.0;0.0
23;absorber;0.0;0.0;0.0;0.0009508858417162118;0.0;0.0;0.0;0.0;0.00020955122052439325;0.0;0.0;0.0;0.0;9.050313412500759e-05;0.0;0.0;0.0;0.0022399028685226342;0.0008287081103379982;0.0002993909879061819
24;absorbé;0.0;0.0;0.0;0.0001866825956741567;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.156808024298426e-05;6.944520268277265e-05;0.00048690204134560695;0.0020641006555520178;2.2588942820465384e-06;0.00022492486406427317;0.00024265445379879373;0.00013173382622899313
25;absorbée;0.0;0.0;0.0;0.026015896894886672;0.0;0.0;0.0;0.0;0.0;0.0;0.004866205248413577;0.0;0.00336274718503316;0.00013194176891678338;0.0027211173786197366;0.0;0.0;0.005851866546456886;0.0012939857874351701;0.0
26;absorption;0.0;0.0;0.0;0.007920197565382188;0.0;0.0;0.007029347033401386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048031700809664815;0.0
27;abstenir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00027611755449713277;0.0;0.0;0.0;0.0;0.0;0.0;5.760376454783489e-05;0.0;0.0;0.002060442543189362
28;abusé;0.0;0.0041015096103827415;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.4615008230179015e-05;0.0;0.0;0.0;0.0005608217455072593;0.0;0.001465461409932044;0.0;0.0
29;abîme;0.0019094553785189829;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000731882487393502;0.0;0.0011009861078235665;0.013640909618805666;0.0;0.00012740871982097162;0.0;0.0;0.0005777146597374572;0.0008271151906177337;0.0;0.00016844754201978058
30;abîmer;0.02655229174744746;0.0410608649114608;0.0;0.0;0.0028480146058417607;0.01197322367558811;7.657982325665444e-05;0.030520706018605234;0.003751540805650165;0.010180424176245073;0.02537335198818761;0.0;0.0;0.06840376344516114;0.011172186754264431;0.0;0.13456937907995986;0.000994797464801483;0.01220260884470437;0.0015782145393518528
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0058779161045928495;0.001658988223664708;0.0;0.00016944788314246487;0.0;0.0;9.757944486938117e-05;0.0002928209604236478;0.0;0.0026337388345875987;0.0;0.0;0.0
32;abîmé;0.0025055125784654085;0.0;0.002058116505439417;0.0;0.0;0.0;0.0009400937287437852;0.00025286750304446886;0.0;0.0;0.0;0.0013521832629727218;0.0;0.002613844745245714;0.0;0.0009993661599469177;0.04874755960236258;0.02070263827202514;0.0038588283376499513;0.0025207972525334277
33;acaht;0.0;0.0;0.0;0.0005461959351281703;0.0;0.005598268286357479;4.442464245390588e-05;0.0;9.12733706669837e-06;0.0;0.0;0.0;5.06949055926877e-05;0.0;0.00010353564186237731;0.0;0.0;0.0;0.0;0.0004906006329725543
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008497838405710641;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004150880687500887
35;acceptable;0.0;0.005518047673766958;0.0;0.0;0.0;0.0;0.008542408228877587;0.0;0.0;0.0;0.0;0.00012186150083814012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3875868713871516e-05
36;accessible;0.0;0.017663796577090964;0.0002270866297538369;0.0;0.0;0.0;0.01142799564364439;0.0011325041667714527;0.008244702401337877;0.0;0.0;0.006189221209532291;0.0;0.0;0.0;0.0027861535560423176;0.0;0.0;0.001949743411149647;0.0014886442315400076
