;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;abandonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007559519105898581
1;abasourdi;0.0;0.0;0.004818860573131806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;abime;0.0011754921390958193;0.0;0.0;0.005153058234591036;0.0;0.0;0.0;0.013517265117557171;0.0;0.0;0.017703208358471317;0.003752490023959699;0.0;0.0;0.0;0.0;0.0;0.01597199132847245;0.0;0.0;0.0017350278646482138
3;abiment;0.0;0.0011673278634974375;0.0005754679415079454;0.0;0.0;0.0;0.001314137885499166;0.0;0.0;0.0;0.001402454204778543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009206780348894819;0.001627759332321609
4;abimer;0.0027362636664224164;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0030116800864934904
5;abimes;0.0022958902949751013;0.0;0.0;0.0;0.0;0.0;0.0;0.007695115618868312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003251359321662631;0.0;0.0;0.0;0.003593005100789413
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002918801099969372;0.0;0.0;0.0;0.0059894989724674445
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006060731231831604
8;abimés;0.0;0.0;0.0008624020473824291;0.0;0.0013315872774859437;0.03039530913405983;0.0;0.0;0.0;0.0;0.0;0.02527321840157379;0.013039946914309326;0.0;0.010580465740279786;0.0;0.0;0.0;0.007027992264863644;0.0;0.04955493572716692
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013242792071939569;0.0;0.0
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002707775089733682
11;abondant;0.0;0.0;0.0;0.0;9.302900401130194e-05;0.0;0.0;0.0;0.0;1.7063357091604966e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.226798038031737e-05;0.000817807993843904;0.0029011981925222167
12;abonnement;0.0;0.005705352363980523;0.0;0.011718314372450517;0.0;0.0;0.0;0.0;0.0;0.004585397556415106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018744597836478367;0.0065794367539511395;0.0
13;abonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0031017740001349405;0.0;0.0;0.0018382277875974495;0.0001260573920055455;0.0;0.0;0.00042238876825379966
14;abonné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008951061777467445;0.0;0.0;0.0;0.0013346767787665848
15;abordable;0.0005660819728447741;0.016927549852526813;0.07842917070691088;0.0;0.0;0.0;0.0;0.0;0.0;0.014363095308416606;0.0;8.882585278211485e-05;0.0037326833593784798;0.0;0.0;0.0;0.0;0.0;0.004952482151642498;0.0038919695257534316;0.003906975492931188
16;abricot;0.0;0.0034677884318114155;0.0;0.0;0.0;0.0;0.0;0.0;0.0017970976493136422;0.0002744434326944782;0.0;0.0;0.0;0.0;0.0;0.0019882551720797653;0.0;0.01729524456189011;0.0;0.0;0.00048463210203721806
17;abricotée;0.0;0.0008723532119218109;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005829469349310641;0.0;0.0;0.0;0.0;0.0;0.0012964929225171885;0.0006450249651490107;0.0;0.0;0.0;0.000630482969126661
18;absence;0.0;0.0;0.0;0.0;0.006482834822025417;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00015888879972727706;0.0;0.0;0.0;6.276826532514707e-05;0.0;0.0;0.00010690501243807709;0.0013713512836685702
19;absolut;0.0;0.000811042407351576;0.0;0.0;0.0008915097690103598;0.0026301880137779756;0.0;0.0;0.0;0.0015097752755409556;0.017303824636582442;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024388905845747513
20;absorbant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00214435250225925;0.0;0.0;5.110532237370253e-05;0.0033857976665443838;0.00010459794236155663
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5678958739391172e-85
22;absorbe;0.0;0.0;0.0;0.0;7.802933340363689e-05;0.0;0.0;0.0;0.0;0.0;0.0003363612277855631;0.0;0.0;0.0;0.0;0.004945255588010188;0.0;0.0;0.0;0.0002961448085612301;7.171219285779256e-05
23;absorber;0.0;0.0008569014979047334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00019519741448429442;0.0;0.0;0.0;0.0;0.0008663281126010875;0.0006771399861455729;0.0;0.0;0.0;0.001040066319729436
24;absorbé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.150290794983626e-06;0.0;6.820017330267096e-05;0.0017513842019937888;0.0;0.0;0.0005247620435483197;0.00038858606795844455
25;absorbée;0.0;0.015273980962861523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024175319479934277;0.0;0.0029364223776032566;0.0;0.001397513807235009;0.001649061006182202
26;absorption;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008737474318216082;0.0;0.0;0.0;0.0;0.0;0.0;0.007939573376662146;0.0;0.0;0.0;0.0;0.0
27;abstenir;0.0;0.0;0.0;6.401273639677888e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00024694171062231114;0.0;0.0;0.0;0.0;0.0;0.0010644899943245535
28;abusé;0.0;0.0;0.0028484837551384385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.542874095148437e-05;0.0;0.0;0.0;1.875408599568945e-05;0.00018100581837737407;0.0;0.0
29;abîme;0.001558819506563295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00023001960358126148;0.0;0.0;0.0;0.0;0.0;0.004890098226791214;0.000662738877723286;0.013318758791595622;0.0;8.232116815904202e-05
30;abîmer;0.020623243989112174;0.0;0.01941395821238375;0.01513366010467932;0.00017490318910497375;0.03713834537113102;0.0;0.0027629942888631547;0.0;0.0;0.0;0.002030788544360533;0.022782855835598304;0.0;0.009991313984268415;0.0;0.03283716646376331;0.012941565955941385;0.0;0.0014367085006746789;0.08773148505418556
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.007122940421206961;0.0;0.0;0.0;0.0;0.0008379523250946755;0.0;0.0;0.0;0.0;0.0;0.010402671674130557;0.0;0.0;0.0;0.0
32;abîmé;0.002767322413029066;0.0019356244683642128;0.0;0.009360563291760212;0.0;7.895397776107737e-06;0.0;0.0;0.0007733869678520553;0.0012953380783347517;0.0;0.005630114689862201;0.0;0.0;0.0;0.0;0.00016290369899781755;0.0;0.0006575098027723312;0.0;0.026036567529155324
33;acaht;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005563816240178293;6.825860658755843e-05;0.0;5.0048379476220344e-05;1.7030336724664867e-06;0.0;0.0;0.0;0.0007577791252848284;0.0;0.0;0.0;0.0001895815836129107;0.0
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.0017616580851233014;0.0;0.0;0.0;0.011607944473848102;0.0;0.0;0.0;0.0;0.0;0.005284479892405295;0.0;0.0;0.0;0.0
35;acceptable;0.0;0.0;0.0037277826492294382;0.0;0.0;0.0;0.0;0.0;0.01055003517169232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00014041608891140608;0.0;0.0
