;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
0;abandonner;0.0;0.0;0.0;0.0;0.0;0.0;7.844523385529794e-06;0.0;0.0;0.0;7.78355833080585e-05;0.0;6.818054957534486e-05;0.0014506941049625432;0.0;0.0;0.0009348010324791499;0.0028335014927506424;0.0;0.0;0.0;0.0005122000153398737
1;abasourdi;0.0;0.007105381014500608;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001824011956934682;0.0;0.0;0.00045617317213813907;0.0
2;abime;0.0008446490278025765;0.0;0.0;0.0;0.0;0.013674223690644045;0.0;0.0;0.011296647510496688;0.0;0.01752969663733084;0.0;0.0;0.0;0.0;0.009434142338227317;0.0;0.0;0.0;0.0;0.0;0.011741108593197182
3;abiment;0.0;0.0010715628140523065;0.0;0.0;0.0;0.0;0.0;0.0;0.001091512690706552;0.0;0.0;0.0;0.0;0.0;0.0012276371422065664;0.001205834668470554;0.002429457593952483;0.0;0.0;0.0;4.7761107817545675e-05;0.0
4;abimer;0.002229147463726509;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009918574058437091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;abimes;0.0025237053564747948;0.0;0.0;0.0;0.0;0.008382407411019638;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010304887842448048;0.0;0.0
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004812185427527719;0.0;0.0;0.0;6.304338253010722e-06;0.0023772674006932;0.0;0.0009347209254636328;0.002311318452730412;0.0052914240324056115;0.00010298767954938432;0.0024771299605513874;0.0005094588817880486;0.0
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010082724419633588;0.0;0.0;0.009353735204367832;0.0;0.0;0.0;0.0;0.0
8;abimés;0.0;0.005550176738865984;0.0;0.0;0.0024731734529422865;0.0015296994729493332;0.0;0.022504968744357996;0.0008494014466817138;0.007637534245797461;0.0;0.00892009447372691;0.0;0.06535979986548197;0.0;0.0;0.06926182877413577;0.006515662612032199;0.0;0.0;0.0;0.0
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012900517042829943;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.217183664904083e-06;0.0003105822110260431;0.0005190317236455425;0.0;0.0021095845962000714;6.67129786735277e-05;0.0010368273146647057;0.0;0.00023800492485050203;0.0;0.0
11;abondant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002535625301806994;0.0;0.010950407056057807;0.0;0.0;0.0071246273447199285;0.00048070860557878394
12;abonnement;0.0;0.0;0.004555654386040883;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021783717340875274;0.0;0.0;0.00834334655625825;0.0;0.0;0.0020408830893124423;0.0;0.0;0.0;0.0
