;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
0;Tres nkn schampoing;0.0;0.0;0.00016719516508410367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.637548674000717e-06;0.0;3.0577112664178485e-05;0.0;0.0;8.614926931793153e-06;8.481861737857249e-05;0.0005924037640484454;0.0;0.0;0.0;4.528538199836379e-05
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.00032789266435803266;3.3470294883593485e-05;0.00013735176939155906;0.0008282089786737284;0.0;0.00015032097191317726;0.000694523377993746;0.00031862499228181313;0.0007544408073450975;0.0;0.0004009610134783053;0.0;0.0;0.0;0.0;0.0003771175764362377;0.0;0.00016102045718250033;0.0037227972477538967;0.0;0.0;0.0012951359681063219;0.0
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;7.429993929025578e-05;0.0;0.00014450191942927632;0.003229443701275496;0.0;0.0009729571270611348;0.0005352663070421729;0.0;0.002616199966700569;0.06335183674519544;0.005254195049027389;0.003823735278274916;0.0024523116158636396;0.0;0.052142522944077334;0.002405945331484659;0.0;0.0057531819987180184;0.07360947648805137;0.0;0.0;0.0;0.0
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.0006811501298748303;0.0;0.04867592111010921;0.0;0.0;0.0006216320503588474;0.002559944860576135;0.05505826518735252;0.002307789275167048;0.0021925482255154894;3.1509684221829896e-05;0.0011725832154695999;0.0009083180839851651;0.01603963474123315;0.0;0.0;0.0038354115247737734;0.0002755746333473102;0.013804060811018221;0.0020748641162114715;0.0;0.08265310569389059;0.0014048985426900699
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0;0.0;0.0;0.052592840801428335;0.0;0.055389843061115634;0.0;0.0;0.0;4.86702956301338e-05;0.0;0.06828698863410415;0.0031368708427982664;0.0;0.014855675837296488;0.057536616938397865;0.0;0.0;0.0;0.0;0.0;0.008213904645057911;0.0
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.0002066437585994151;0.0;0.001647261008500062;0.0010663517711955329;0.0;0.001331977186756076;0.0023423049768429684;0.0;0.0;0.00044769572734441155;0.0;0.0;0.0005241212093774745;0.002103684747552272;0.0;0.0;0.00047698688808484545;0.003120318405479704;0.024534399592276615;0.0042816991192404456;0.0;0.0;0.0
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.0002566981577113875;0.0;0.0;0.007403305591626159;0.0;0.0001573020026846811;0.0011716138535118974;5.463268152268008e-05;0.0022806290526146;0.0034625686122555146;0.012274356625380001;0.0;0.0019002849908017737;0.0;0.0018425106770116613;0.0;0.003766039055189986;0.04404331450239888;0.006711081012401895;0.0009169466299198129;0.0;0.009284363297209806;0.0
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;0.0;0.0;0.11286282233092614;0.0026186933298375376;0.0;0.0006365917134726627;0.0016521022672416684;0.0;0.0;0.0016041307917241843;0.0;0.0010060045788812344;0.0;0.008624493628268478;0.019010446673167977;0.0;0.003156408873457642;0.0;0.029254354690445444;0.0;0.21517465707029523;0.0;0.0
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.0;0.0;0.0047801332440757915;0.0004920643084596522;4.594984114592378e-05;0.001296754956863002;0.0;0.00044889755625589684;0.0;0.0;0.0;0.0;0.001661057087698737;0.0;0.0006404925317486779;0.009413844406867452;0.0;0.0;0.0;0.0;0.0;0.18671232554917577;0.0
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.00018768816593103306;0.0;7.100490380709732e-06;0.0076626495300097155;0.0;0.00011853473741261787;0.0;0.0;0.0;0.0;0.00371043785522773;0.0;0.0005317616642244268;0.012541485920801664;0.0;0.0007685873118641266;0.0;0.00019991010005507022;0.009673823749458504;0.0;0.0007376227618583374;0.0031667553838366264;0.0
10;N'en reste pas moins une crème super agréable;0.0;0.0001854556185471567;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00013804116947953359;0.0;0.0;0.0;0.0013102909380910352;0.0023087159136127903;0.0008588450730975364;0.0;0.0005287128785772084;0.0023071020600649917;0.0;0.0;0.0
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.00028795360364385986;0.0008150290206876481;0.0018846071788673543;0.0;0.0;0.0;0.0;0.0004161623695331741;0.00046187778862423885;0.001665777789018012;0.0;0.0;0.0;0.0005119122496049796;0.0003843052527901456;0.006134181205999211;0.0016756007565909116;0.0005568454602533313;0.0041436582052346875;0.00027667221993063387;0.0052955729220390425;0.0;0.0002053909935905385
12;remplit sa fonction;0.00017187028989387108;8.139440825494655e-05;6.683134766134071e-05;0.001186330588196946;0.00023168034280319144;0.0;0.0;0.0009375767079273263;0.0005712724226354179;0.0004617087105061851;0.0012271522953944635;0.0;0.00026138305780321216;0.0;0.0;0.0007994581245277084;0.0;0.0;0.001515409836363354;0.0;0.0008252690014241538;0.0;0.0
13;Très bien pour le connaître depuis longtemps;0.0008674943875840429;0.0;0.0;0.00033554121826744385;0.001251393777164543;0.0016140571081589596;0.0;0.0;0.0013018319506328561;0.0;0.0;0.0;0.001660403438737917;0.0;0.0;0.0028628006697874178;0.0;0.0;0.026801365359235215;0.0;0.00037674696405089224;0.0;0.0
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.0003336919309250766;0.00023981667501072875;0.0;0.0010847112992138901;0.00045259062042077693;0.0006675557549394686;0.00039094692347670654;0.000151793733613642;3.975764060846299e-05;0.0001688835509689943;0.001386867556125894;0.0;0.0;0.004904157289869542;0.0;0.0;0.0024202374812994152;0.004397051207353438;0.012107185594314031;0.0006720315074891589;0.0;0.0013849653332956464;0.0
15;...comme les miens c'est le produit idéal qui évite le jaunissement des cheveux et en grande dose tel qu'il est présenté, c'est une utilisation de plusieurs mois;0.00011997586407751104;0.00042171643102885067;0.0;0.0010158665597597835;0.0;0.00010463077688215803;0.0006564826018202796;0.004547745304359404;0.0009367658873653659;0.002111721469648879;0.003026796959778126;0.0;0.000748894208371104;0.0;0.04879866171155286;0.0;0.0006370100998529227;0.0;0.0284680334903311;0.01354168346090503;0.01789988292907785;0.002305769956568262;0.0
16;De toute façon tout ce que fait L'OREAL est au top: ELSEVE pour les cheveux, MEN EXPERT, NARTA déodorant;0.0005421558394725775;0.0;0.00026295943933071796;0.00041041790815826045;0.0;0.000618081143314982;0.0010689462753316458;0.0012066978675311472;0.0010339713082958535;0.0008858233610393586;0.0;0.0026522929854786792;0.0;0.0026431925592056878;0.0;0.0;0.0;0.0015348846930423046;0.0035859851672834933;0.0015009955016467551;0.0;0.0;0.0
17;Je me sers de tout cela depuis des années et avec une entière satisfaction;0.00010617918261671045;0.0;0.000370218089527236;8.906654377933763e-05;0.0;0.003141313541950007;0.0;0.0;0.009938208548573819;0.0010038333968698566;0.002191073016530774;0.0;0.00033351325364235193;0.0;0.0;2.4480989528114104e-05;0.0;0.0;0.0004889921546989346;0.02898030920296655;0.00045584651739428886;0.0;0.0009638788213189961
18;Philippe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.901750432146614e-274
19;Ravie de retrouver mon mascara préféré sur ce site et à un.prix vraiment abordable..;0.0007771941392528946;0.05278700855149806;0.0009612418958992343;0.0004033100347797481;0.0012796902788285763;0.001018016207035099;0.0010572908786584776;0.0;0.0;0.0026201005675780425;0.002843468669291054;0.0018916403298632816;0.0;0.0025963582425329946;0.0011105961254329368;0.0;0.0;0.011013876095512054;0.0023431997560639803;0.015649163912386917;0.0;0.0004525352585142656;0.0026120474047443983
20;"prix compétitif,...facile d’application... plus d'un moi de traitement....je l""ai testé et dès qu'il est fini je repasse  une commande.";0.00023996994308208755;0.03919291700119772;0.0005721928185136333;0.0;0.0007651503153970407;0.000349799488364933;0.0;0.0;0.0;0.0;0.0;0.0013927646665623107;0.0;0.0019229336423189451;0.11533271917982649;0.0;0.0;0.011782221363857703;0.008831788779837525;0.0;0.0;0.0009700901382692695;0.00030107754460461517
21;Merci;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;Shampooing en format salon, dommage que la pompe ne soit pas livrée avec, j'ai du transvaser dans un contenant plus petit. Il laisse une odeur agréable sans être trop forte ou persistante, mousse bien et se rince facilement. J'utilise moins de quantité qu'avec un shampooing de grande surface donc c'est un très bon rapport qualité prix au final.;0.0;0.04977111801147554;0.053936722537241175;0.0;0.0004420420071115645;0.0;0.0005800807127588909;0.0017629371504655647;0.06201802596623365;0.00026570973444181947;0.0;0.0;0.005735807946707825;0.00308180253030201;0.0;0.00245367176626621;0.004116058807892895;0.0;0.014724643264824292;0.0;0.07498006559627036;0.0005233043139275914;0.0
23;Bonjour,;0.0006187996560444685;0.0;0.0;0.00012318779480476595;0.0;0.0;0.0;0.0;0.000651011419272592;0.0;0.003698762187584815;0.0;0.0;0.0;0.0;0.0;0.0;0.00351076093377358;0.0;0.01146741241507955;0.0;0.0;0.00297257871557775
24;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;"assez déçue. Ce n'était pas une plume fine comme je l’espérais mais un feutre. Donc moins précis .. par ailleurs, le noir est trop ""noyé"", feutré, dilué.... pas épais et de ce beau trait ""black"" qu'on aime lorsqu'on surligne et prolonge nos regards.";0.0001291598179113807;0.0;0.0004011546278471377;0.0;0.0;0.00029559221648111825;0.00034814568004424944;0.0;0.00030187632460676553;0.0006447589343122863;0.005174044647032053;0.000918703534415232;0.0027908658143276665;0.0;0.006243248163785235;0.00784323935848274;0.001117920162689086;0.0020970773403990264;0.00679058180111935;0.001597670635692981;0.0027247986065051357;0.0;0.0
