;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
0;abandonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002108038860228979;0.0;0.0;0.00040776893437633697;0.0012314864277788921;0.0039590347872574165;0.0;0.0;0.0;0.0
1;abasourdi;0.0;0.007144572035105444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00022031503420336394;0.0;0.0;0.0003580985835503627;0.0;0.0
2;abime;0.0009691593710450989;0.0;0.0;0.0;0.0;0.013899694420679913;0.0;0.0;0.011614551867168024;0.0;0.018141656859498718;0.0;0.0;0.0;0.0;0.008263336723623707;0.0;0.0;0.0012412861293981897;0.0;0.0;0.010993461088463564;0.0
3;abiment;0.0;0.0011104536519762334;0.0;0.0;0.0;0.0;0.0;0.0;0.001137013627142658;0.0;0.0;0.0;0.0;0.0;0.0012812901981128866;0.0008821204269411858;0.002431996075362138;0.0;0.00011973463852599987;0.0;0.0002144072945097094;0.0;0.0
4;abimer;0.002260524239994619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010183602752370914;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;abimes;0.0025610732217825533;0.0;0.0;0.0;0.0;0.008495709518467707;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010608110656886915;0.0;0.0;0.0
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00014057536890608964;0.0;0.0;0.0;0.0;0.0023478281094115117;0.0;0.0;0.002273155317850865;0.00474511401322513;0.002861420386888039;0.0022796517324833116;0.0004420633923608828;0.0;0.0
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010494634437018535;0.0;0.0;0.009553614661060935;0.0;0.0;0.0;0.0;0.0;0.0
8;abimés;0.0;0.005391584443806596;0.0;0.0;0.0023910692784215757;0.0014394185755514269;0.0;0.02235000590018924;0.0;0.007435577192797856;0.0;0.008538652398557837;0.0;0.06458353136032052;0.0;0.0;0.06914247631927868;0.00568862742432314;0.010643705212901814;0.0;0.0;0.0;0.0
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012970273335901169;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.437500965940295e-06;0.005087319537652259;0.0;0.0;0.0;0.0
11;abondant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011033621730094395;0.0007576146676358565;0.0;0.006704558411974539;0.0003614102068730375;0.0
12;abonnement;0.0;0.0;0.0045658453581364986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02206377937539192;0.0;0.0;0.008977290783970355;0.0;0.0;0.002159717134122735;0.0;0.0;0.0;0.0;0.0
13;abonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.837390814246693e-07;0.0001612443557965968;0.0;0.0;0.0;0.0;1.966651408933787e-05;0.0;0.0;0.0011635576871036801;0.001541918335726187;0.0;0.0;0.0
14;abonné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.221323240904238e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.00013842705076011328;0.0;0.002596056299846636;0.0003380758853468324;0.00011911353433314126;0.0003652153779061086;0.0;0.0
15;abordable;0.0;0.12171071911535973;0.013744695203648554;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003970198793032774;0.0;0.0;0.005028994521892865;0.01313639162145488;0.0;0.020438586347095215;0.003978558672801882;0.0;0.0;0.004509511521021537;0.0
16;abricot;0.0;0.0;0.0007554540206656935;0.0026951123670224245;0.0;0.0;0.0015584852364052164;0.0;0.0;0.0;0.02034549679376435;0.0;0.0;0.0003713186780825903;0.0;0.0;0.0;0.0;0.002399023041982152;0.0;0.0;0.0;0.0
17;abricotée;0.0;0.0;0.00035897589368104414;0.0012105980426399487;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001304177606214281;0.0;0.0;0.0002195994318510641;0.0;0.00042631133500694424;7.31297549401161e-05;0.0018562133067656944;0.0;0.0;0.0
