;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
0;abandonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.061546968234885e-05;0.0;0.007948390014437803;0.0002117043125126293;0.000586325628111981;0.0;0.0;0.0;0.0;0.0;0.0
1;abasourdi;0.0;0.007144968522299939;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005271715945011873;0.0;9.890625426311554e-05;0.0;0.0;0.00026228073956134743;0.0;0.0;0.0
2;abime;0.0008411579393920929;0.0;0.0;0.0;0.0;0.013652015895354119;0.0;0.0;0.011063553238013625;0.0;0.018425495263117427;0.0;0.0;0.0;0.0;0.007535124402607208;0.0;0.0;0.0;0.0;0.0;0.011573591679015277;0.0;0.007464001310901905
3;abiment;0.0;0.0008175097989092777;0.0;0.0;0.0;0.0;0.0;0.0;0.0010238809416423008;0.0;0.0;0.0;0.0;0.0;0.0013434953467219026;0.0018202042203043364;0.0023779550055979103;0.0;0.0;0.0;0.0;0.0;0.0;0.0005897008760244975
4;abimer;0.0022538563544083896;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010220489482616018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;abimes;0.002557752482834171;0.0;0.0;0.0;0.0;0.00847041144087814;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011670711637866977;0.0;0.0;0.0;0.0
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0021184956565018643;0.0;0.0072875437044939454;0.0022054028768494546;0.004207003101647676;0.0;0.0022592089364029708;0.0;0.0;0.0;0.0
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010534419525488064;0.0;0.0;0.009556521310882707;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;abimés;0.0;0.006442508041147553;0.0;0.0;0.0022524282742964405;0.001519754307021339;0.0;0.02218192320978645;2.184319527999897e-05;0.0072191803854494835;0.0;0.008388403924048219;0.0;0.06564855210191813;0.0;0.0;0.06932085364170572;0.005981882452025102;0.014762417486730676;0.0;0.0;0.0;0.0;0.0
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01295478796639197;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00012224354848191726;0.0;0.0;0.0017815254578167391;0.0;0.00029334476998405076;0.0030943963588394405;0.0;0.0;0.0;0.0;0.00033124367403915565
11;abondant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010641699099110702;0.0012208143166402203;0.0;0.007187049717586295;0.0005028085287825903;0.0;0.0
12;abonnement;0.0;0.0;0.004561947657945141;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02202632392845543;0.0;0.0;0.009418149144559934;0.0;0.0;0.0019392129868001065;0.0;0.0;0.0;0.0;0.0;0.0
13;abonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.241612042315234e-05;0.0002376156194050973;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007895706773300112;0.0018184990937421045;0.0;7.96972291282219e-06;0.0;0.00019976281810326152
14;abonné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0022738704760730615;0.0;0.0023371028845391604;0.0;0.0;0.0;0.0;0.0;0.0
15;abordable;2.9624357687316512e-05;0.1234127215541006;0.013834380961948655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004173364706755109;0.0;0.0;0.005667889543276652;0.0024269938880404534;0.0;0.020309726470923876;0.0;0.0;0.0;0.0051033433477756275;0.0;0.014080781520049606
16;abricot;0.0;0.0;0.0007555123609083075;0.0026797937152048443;0.0;0.0;0.0015388664956568915;0.0;0.0;0.0;0.020973037791997343;0.0;0.0;0.0005259621551668584;0.0;0.002513539422302214;0.0;0.0;0.0002993824260677471;0.0;0.0;0.0;0.0;0.0
17;abricotée;0.0;0.0;0.00036174598052816524;0.0012319487002661542;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013216615933312878;0.0;0.0;0.0;0.0;0.0004302362801004911;0.0;0.0020756144278393984;0.0;0.0;0.0;0.0001359471631783252
18;absence;0.0;0.0;0.0;0.0;0.00554401914643319;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012545999090369051;0.0;0.0;0.006968824827096916;0.0;0.0;0.0
19;absolut;0.0;0.0;0.0006941733308078302;0.0;0.0015072762110079293;0.0;0.0;0.0014870002591611609;0.012496410766917211;0.0;0.0;0.0;0.0033512964333910367;0.03053323245751552;0.0006602327750518929;0.00020961006714072906;0.013789038391314852;0.0011544418892916182;0.0;0.01440044813592665;0.0;0.0014195287247928349;0.0;0.0
20;absorbant;0.0;0.0;0.0;0.002152897731522779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.111872021101557e-05;0.0;0.0;0.0039016091669111493;0.0006192152643320914;0.0;0.0;0.0;0.0;0.0;0.00040037803975586744;0.00021406886804006332;0.0
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.873243593526987e-129
22;absorbe;0.0;0.0;0.0;0.00499986898390951;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005378259048492909;0.0;0.00010753209721769678;0.0024309396534874387;0.0;0.0;0.0;0.0006560158989373491;0.0;0.0
23;absorber;0.0;0.0;0.0;0.001013314772319423;0.0;0.0;0.0;0.0;0.00020638592294264756;0.0;0.0;0.0;0.0;0.0;0.0;0.00016595295252573166;0.0;0.0020622208882305694;0.0008714387926987627;0.0010528715197022321;0.0;8.73175229380277e-05;0.0;0.0
24;absorbé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00025486432699806225;0.0008345251314962713;0.0;4.221681521755433e-05;0.0004124783607831226;0.0;0.002131498130106078;0.002109468797527652;0.0;0.0
