;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;abandonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013123696803581;0.0;0.0001389256264781878;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;abasourdi;0.0;0.007157190304341288;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005153238339295072;0.0;0.000150510807230708;0.0;0.0;0.00035405060376442915;0.0;0.0;0.0;0.0
2;abime;0.0007927014793249279;0.0;0.0;0.0;0.0;0.01372300317165633;0.0;0.0;0.011081107693867751;0.0;0.019474286439722127;0.0;0.0;0.0;0.0;0.011886149335932817;0.0;0.0;0.0;0.0;0.0;0.012153434976077918;0.0;0.0;0.009190130366008924
3;abiment;0.0;0.0011174576488295965;0.0;0.0;0.0;0.0;0.0;0.0;0.0011352472856443771;0.0;0.0;0.0;0.0;0.0;0.0014246913175725705;0.0;0.0024950536494179904;0.0;0.0;0.0;0.0;0.0;0.0;0.0005149966801643108;0.0009474289550271822
4;abimer;0.002260872992009033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010873189209907092;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;abimes;0.0025702281316336457;0.0;0.0;0.0;0.0;0.008536301190314994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012551284681046583;0.0;0.0;0.0;0.0;0.0
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.921505337182975e-06;0.0;0.0;0.0;0.0;0.0023919202793751975;0.0;0.0054919016219776556;0.002318326606891757;0.004810101814801526;0.0;0.0026089945960290125;0.0;0.0;0.0;0.0013309606152348108;0.0
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011199836700438606;0.0;0.0;0.00963640612747399;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;abimés;0.0;0.006042360986619434;0.0;0.0;0.00231537686024039;0.0015425148428835718;0.0;0.022132682035300593;0.0;0.007267631510166735;0.0;0.00849354347004086;0.0;0.06969948300419178;0.0;0.0;0.069938052468248;0.006529294651977116;0.017805597981285556;0.0;0.0;0.0;0.0;0.0;0.0
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013111101611385944;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001430247052775728;0.0;0.0;0.0022740043821081217;0.0;0.0002946974276022805;0.00378593150554729;0.0;0.0;0.0;0.0;0.0;0.0006355252604891817
11;abondant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011575508580151187;0.0011317134194957952;0.0;0.007073673600296049;0.0003947980467807947;0.0;0.0009433246263576093;0.0
12;abonnement;0.0;0.0;0.004578583566469359;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022284057285156984;0.0;0.0;0.009685030393706764;0.0;0.0;0.002011698081405417;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;abonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5387166341394176e-05;0.0002552355723831427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008962761739346551;0.001939596723035659;0.0;3.077108610164371e-06;0.0;9.201262255701867e-05;0.00028266870236035935
14;abonné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006566464636719937;0.0;0.0026849810067983747;0.0;9.566043953637693e-05;0.0;0.0;0.0;0.0007908131308801618;0.0
15;abordable;0.0;0.12022210489987575;0.013481957474178848;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003724459989758081;0.0;0.0;0.005084006853894457;0.030297210855650045;0.0;0.020447213678396154;0.0;0.0;0.0;0.004687583090609824;0.0;0.0;0.01688203910895821
16;abricot;0.0;0.0;0.0007455701443620246;0.0022746518385572193;0.0;0.0;0.0015354087791202612;0.0;0.0;0.0;0.02196006125370043;0.0;0.0;0.0004722755152867473;0.0;0.0028426359672565145;0.0;0.0;0.0001362247187754838;0.0;0.0;0.0;0.0;0.002657536917128917;0.0
17;abricotée;0.0;0.0;0.00033692342710148085;0.0008863559789742053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001279390786854814;0.0;0.0;0.0;0.0;0.0004177751142344758;0.0;0.0020502338658116527;0.0;0.0;0.0;0.0019366044195149533;0.0
18;absence;0.0;0.0;0.0;0.0;0.005640111813187724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013646481446939746;0.0;0.0;0.007041225311226318;0.0;0.0;0.0;0.0
19;absolut;0.0;0.0;0.0006896258949597901;0.0;0.001531034232430114;0.0;0.0;0.0014884221267294007;0.012468975886941203;0.0;0.0;0.0;0.0033702464215484614;0.032388566637107846;0.0006093686319864865;0.0014414772386820214;0.013867196573698094;0.001082468679510373;0.0;0.015368950408773514;0.0;0.0014180790058010246;0.0;0.0;0.0
20;absorbant;0.0;0.0;0.0;0.0021709350102988986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.739606765030107e-05;0.0;0.0;0.003925517703052972;0.0008987709598903867;0.0;0.0;0.0;0.0;0.0;0.0004076018000355126;0.00024186832507289182;0.0002564994099365378;0.0
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3487058793431743e-110
22;absorbe;0.0;0.0;0.0;0.005103725565135984;0.0;0.0;0.0;0.0;8.505890835861767e-06;0.0;0.0;0.0;0.0;0.0;0.0005911629141293027;0.0;0.00010214511393545938;0.0026450839551001946;0.0;0.0;0.0;0.000698570176465573;2.579262874338693e-05;0.0;0.0
23;absorber;0.0;0.0;0.0;0.001048671352286134;0.0;0.0;0.0;0.0;0.00021216945734549913;0.0;0.0;0.0;0.0;0.0;0.0;0.00032050538395031984;0.0;0.0022252450755930672;0.000998021969141814;0.0011373864017098646;0.0;6.632715827016866e-05;0.0;8.582865832620836e-06;0.0
24;absorbé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00027458649906539757;0.0011236041653524256;0.0;4.70557918888514e-05;0.000507438345052771;0.0;0.0021397497051914385;0.0022096806350758026;0.0;0.0;0.0
25;absorbée;0.0;0.0;0.0;0.025687364078388942;0.0;0.0;0.0;0.0;0.0;0.0;0.005556692597902563;0.0;0.0032934579783696323;0.0;0.003139252684940975;0.0007047446810923062;0.0;0.0059011026478918175;0.0;0.0014775492389320682;0.0;0.006715877675189824;0.0;0.0;0.0
26;absorption;0.0;0.0;0.0;0.005724076810622257;0.0;0.0;0.007041317489758564;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011849236882051268;0.0;0.0;0.0
27;abstenir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00031522146596601504;0.0;0.0;0.0;0.00016846767243254286;7.76058702984243e-05;0.0;0.00020729078155931504;0.0;0.0;0.0001869818450547584;0.0;0.0;0.0002619678871841231;0.0;0.0030918893307871407
28;abusé;0.0;0.004233960392921476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.122544461472778e-05;0.0;0.0;0.0;0.0;0.0;0.001648527595803941;0.0;0.0;0.0005968675760521386;0.0;0.0;0.0;0.0
29;abîme;0.0018405542765363317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00025457754555511283;0.0;0.0008125369368531038;0.013744896302094663;0.0;0.0;0.0;0.005205472442917634;0.000492210730357325;0.00014849273401038306;0.0;0.0;0.0;0.0;0.0;0.0;0.0006244878222109282
30;abîmer;0.02541245137447131;0.03814493379536667;0.0;0.0;0.0009288577326366808;0.010514666402131527;8.716420764421561e-06;0.028576185454554547;0.0;0.0082155511536347;0.022767325026667444;0.0;0.0;0.06662566690627793;0.0022504495863118618;0.04265805002301856;0.12575205184104127;0.0;0.06902707602467899;0.004956726364031886;0.0;0.01254646847725718;0.02794843691687335;0.0;0.0
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0057088804761014494;0.0014355112617074068;0.0;2.3476713376360287e-05;0.0;0.0;0.0;0.00010836347977584685;0.003559768292416965;0.002457495533225355;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;abîmé;0.0021657140472223857;0.0;0.001034908856698617;0.0;0.0;0.0;0.0010562353539142434;0.0;0.0;0.0;0.0;0.001493176276906401;0.0;0.002778749426575425;0.0;0.0;0.046026074600325984;0.02213400953274168;0.0;0.002312832889226693;4.420627353278165e-06;0.025585415965311435;0.0;0.006405831620286016;0.0
