;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
0;Tres nkn schampoing;0.0;0.0;0.00017314847616352707;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6385764836450713e-05;2.799317760829763e-05;0.0;7.679235214750544e-05;0.0;0.0;3.781518838774383e-05;0.00012992435847058835;0.0002492909949327924;0.0;0.0;3.588505419156327e-06;0.0;0.0;0.0002976082786624622;5.2852195997053854e-05
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.00033599532308388046;6.54586231690132e-05;0.00014243888005874378;0.0008347729086606562;0.0;0.00017008247476213537;0.0007185821874379206;0.00035228582954404064;0.0008745321677160856;0.0;0.0004942792406900105;0.0;0.0;0.0;0.0;0.0006866065867863647;0.0;0.0002485773161952953;0.0028817683923681183;0.0;0.0;0.001294368717414926;0.00041628885084783973;0.0;0.00029319556351178866;0.0
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;0.00028160190586990055;0.0;0.00033781908370093204;0.0035532234076520028;0.001324194315979166;0.0014238014027227977;0.000953836602906176;0.0;0.004929300945228549;0.06441958231247856;0.0067265544745053266;0.004469110371915088;0.0032144744577948855;0.0006052772543732709;0.04959590504678886;0.0007813444193844432;0.0004298208613129608;0.007673162542421387;0.06394853559753741;5.7118098682252885e-05;3.0590399425230315e-07;0.0;0.003731712191032494;0.0;0.0006506704413462016;0.0008701980777563054
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.0007078539152123677;0.00011568358115308657;0.048690953128075;0.0;0.00023327019197829046;0.0006163128498124905;0.0025089630308860393;0.05566418801224354;0.0026363386198190912;0.002474742722946067;0.0005661376007970243;0.0011972395397747949;0.0010559221278823665;0.015826267313070734;0.0;0.0;0.004255052105031592;0.0004958014697900865;0.005005452821062856;0.0020564570284877302;0.0;0.08292832263629539;0.0;0.0;0.01361878986883362;0.0008122844914134227
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0;0.0;0.0;0.0524714919058825;0.0;0.0549523712087683;0.0;0.0;0.0;0.0;0.0;0.06773616163513706;0.0031146854861356676;0.0;0.014629786546767833;0.0;0.0;0.0;0.0;0.0;0.0;0.008347565238130288;0.07028325855924727;0.0;0.0;0.0
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.00016793732188182903;0.0;0.0016969327107707033;0.001198461522975944;0.0;0.0012818971663700065;0.00211003807911214;0.0;0.0;0.0007276083228572774;0.0;0.0;0.0011341688901876166;0.0025967294926184095;0.0;0.0;0.0006768222556595853;0.0028802922458655332;0.005947385685327476;0.003815961774288689;0.00039136412464837236;0.0;0.0014618284267633103;0.0023250972643606184;0.03455394922753379;0.0
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.0003054764114204993;9.217151306326986e-05;0.0;0.007169882300069577;0.001523210496271404;0.00018873689340241683;0.0012500133243262175;0.00012696892561704873;0.0029236766852227094;0.003601677301787648;0.01211007243483281;0.0;0.0018447290515119486;0.0;0.0019590556332552364;0.0005809770883359323;0.00412008533215696;0.038252259777180275;0.0035464930853798893;0.0019027568207831884;0.0;0.00936165788848952;0.0;0.0;0.0;0.0
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;4.3180486452911206e-05;0.0;0.11302756207341232;0.0030096963812455317;0.0;0.0008385447958222458;0.0018784872998421807;0.0;0.0006719286816113024;0.0023339207929214865;0.0;0.001460905105094317;0.0;0.01221191000390345;0.017748860283793026;0.0;0.004750290544791054;0.0;0.016922637732663875;0.0;0.2004770667917678;0.00032632443275571545;0.0;0.0;0.01565816840902831;0.0
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.0;0.0;0.004733782884844437;0.0011449142633334103;0.0;0.0012923753814650682;0.0;0.00021688796983512958;0.0;0.0;0.0;0.0;0.001704476865088248;0.0;0.001511999935723671;0.0;0.0;0.0;0.0;0.0003172340826471784;0.0013135118930596116;0.18682292117239307;0.005601003622580313;0.0023994034328289186;0.0;0.0
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.00019712802344011788;0.0;4.016274146611834e-05;0.007455596752787583;0.0;0.00018207359795593793;2.001297467239084e-05;0.0;0.0;2.8193253193062564e-05;0.0034575064996496866;0.0;0.0006222105366053541;0.011767515281487888;0.0;0.002339500980481855;0.0;0.0007355654603485565;0.005323680557534003;0.0;0.0008575261022008251;0.003562231856214779;0.0006563642190995629;0.0;0.0030149916537537316;0.0
10;N'en reste pas moins une crème super agréable;0.0;0.00012828232974692783;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001610385646002155;0.0;0.0;0.0;0.001355016801987696;0.0006580766522996096;0.0008209585164710407;0.0;0.0;0.0020496661399928185;0.0;0.0;0.0024172400132559976;0.0002003933210006235;0.0007105629697660998;0.0
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.0002977107784690107;0.0005196627617542024;0.001864435177980255;0.0;0.0;0.0;0.0;0.0004222068145271777;0.0004614418625780385;0.0017268817947556393;0.0;2.785380387249917e-05;0.0;0.0005312311491370233;0.0005313522587543058;0.004940004897441537;0.0017189459093653481;0.0005732713824214362;0.0017838866790518746;0.00046891009389325;0.0033331693716350283;0.0;0.007266309029687504;0.0;0.0005043670907679691;0.0003705577393567889
12;remplit sa fonction;0.00016706581573216957;0.0;5.649140154214648e-05;0.001147281582043114;0.0004279202080001989;0.0;0.0;0.0009255444485769188;0.0004470593632386026;0.000436245740948634;0.0012093832118873387;0.0;0.0002957857085341214;0.0;0.0;0.0012968187844665385;0.0;0.0;0.00036203129409645413;0.0;0.00041288170607674214;0.0;1.155872445039795e-05;0.0;0.002811681502799596;0.0
13;Très bien pour le connaître depuis longtemps;0.00013528507960612366;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000618768216921639;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0037353228874988796;0.004248889603396505;0.10473681851943598;0.0
