;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
0;abandonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00012367827446341478;0.00037746699725442305;0.0;0.0;0.0;0.0;0.0;0.0;0.006870878061524026;0.0
1;abasourdi;0.0;0.007306566720479664;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.954212558220195e-05;0.0;0.00018664248293558935;0.0;0.0;0.00034144537792972496;0.0;0.0;0.0;0.0001409021760131136;0.0
2;abime;0.0007665514353452692;0.0;0.0;0.0;0.0;0.013738706325031965;0.0;0.0;0.010906640155356504;0.0;0.01971229202186489;0.0;0.0;0.0;0.0;0.0013913064172001873;0.0;0.0;0.0;0.0;0.0;0.010688287163498955;0.006889350020877745;0.0;0.00701404240563605;0.0
3;abiment;0.0;0.0006966302402957229;0.0;0.0;0.0;0.0;0.0;0.0;0.0010540143199454753;0.0;0.0;0.0;0.0;0.0;0.001319443972447055;0.004085206883779879;0.0024632116907529434;0.0;0.0;0.0;0.0;0.0;0.00047574046516422175;0.0;0.0;0.0
4;abimer;0.0022622311427064243;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011167355820650067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;abimes;0.0025690502861533708;0.0;0.0;0.0;0.0;0.008564532489099873;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012285381276522378;0.0;0.0;0.0;0.0;0.0;0.0
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0023029206865414946;0.0;0.0083057572086874;0.002289062901055933;0.005246574853847603;0.0;0.002384104298517381;0.0;0.0;0.0;0.00020474423493507224;0.0023301186490227274;0.0
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011512843907240552;0.0;0.0;0.009815900612277762;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;abimés;0.0;0.006578785627667448;0.0;0.0;0.002900175012023501;0.001514999610491544;0.0;0.022042950408832338;1.7489679967687955e-06;0.00723101468542328;0.0;0.008373899238131909;0.0;0.07167966099453024;0.0;0.0;0.07115227396777891;0.007143635330145808;0.01648772615446791;0.0;0.0;0.0;0.0;0.00031799445155568633;0.0;0.0
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013086824293348362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001327579496725436;0.0;0.0;0.0;0.0;0.0003293797300163922;0.0038121832064202683;0.0;0.0;0.0;0.00037277356142290113;0.0;0.0010765001700979867;0.0
11;abondant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00021341957369555188;0.0;0.01296081314058089;0.0013991315729702818;0.0;0.007339374578563278;0.0004435839173951899;0.0;0.0;0.0;0.0
12;abonnement;0.0;0.0;0.004560248309266328;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022247511065607222;0.0;0.0;0.009627874845827783;0.0;0.0;0.002322981692435256;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;abonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.950277857231989e-05;0.0002554365370027329;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000969127799658855;0.0019070178507577392;0.0;4.1719472684454866e-06;0.0001920374974949597;0.0;0.0;0.0
14;abonné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0039903154056769715;0.0;0.0029241813097014317;0.0;1.1258588172670985e-05;0.0;0.0;0.0;0.0;8.98825399132765e-05;0.0
15;abordable;0.0;0.12322949017414832;0.01349930552133607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003672028432587933;0.0;0.0;0.004803108602725463;0.0;0.0;0.022791065129548826;0.0;0.0;0.0;0.003909143484737451;0.012811155907263063;0.0;0.01947285528950873;0.0
16;abricot;0.0;0.0;0.0007863868916523297;0.0027201488943914202;0.0;0.0;0.0015643021870096678;0.0;0.0;0.0;0.022697399102127817;0.0;0.0;0.0006186136080337697;0.0;0.0;0.0;0.0;0.0005345861716622983;0.0;0.0;0.0;0.0;0.0;0.0013790072638075422;0.0
17;abricotée;0.0;0.0;0.00036045916643400166;0.0012621679845069812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013396745561285288;0.0;0.0;0.00010908300904982128;0.0;0.0005258921146224362;0.0;0.002176289725643919;0.0;0.0;0.0;5.5354548215682484e-05;2.4214865644992565e-05;0.0
18;absence;0.0;0.0;0.0;0.0;0.007695782646650308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014752152732640269;0.0;0.0;0.007137018344800009;0.0;0.0;0.0;0.0;0.0
19;absolut;0.0;0.0;0.0006959987921402884;0.0;0.0022894368269737193;0.0;0.0;0.001480867561731136;0.012454091597012915;0.0;0.0;0.0;0.0034007139388369874;0.033311582223647065;0.0006415160745763833;0.0;0.014136277879997577;0.0010814217603506678;0.0;0.015102095603837639;0.0;0.0013228992775819795;0.0;0.0;0.0004092158015883981;0.0
20;absorbant;0.0;0.0;0.0;0.002191218552148231;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.848695280601812e-05;0.0;0.0;0.003984459983480252;0.0;0.0;0.0;0.0;0.0;0.0;0.0003722267390611971;0.0;0.0;0.0005251072899712524;0.0002009662353018383
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.591362664949576e-89
22;absorbe;0.0;0.0;0.0;0.0050793081235184;0.0;0.0;0.0;0.0;6.433251352425547e-06;0.0;0.0;0.0;0.0;0.0;0.0005426372487841427;0.0;0.00011157459714677834;0.0029337596244817313;0.0;0.0;0.0;0.0006068334351056206;0.0;0.0;0.0;0.0
23;absorber;0.0;0.0;0.0;0.001030206241692591;0.0;0.0;0.0;0.0;0.00020335510732244177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0024888001803070733;0.0010414788720703467;0.0011055078043532504;0.0;7.452814612847442e-05;0.0;0.0;0.0001432136576858269;0.0
24;absorbé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00026542520036741446;0.0;0.0;6.150964219707443e-05;0.0004963843418860172;0.0;0.002210161517612773;0.0019673594164358356;0.0;0.0;0.0005614714955117972;0.0
25;absorbée;0.0;0.0;0.0;0.025569133839227924;0.0;0.0;0.0;0.0;0.0;0.0;0.005363172051103315;0.0;0.003296488910363958;0.0;0.0029897614614276063;0.0;0.0;0.006585324885378396;0.0;0.0012308603501136994;0.0;0.0059269566400405186;0.0;0.0;0.0003755641723461363;0.0
26;absorption;0.0;0.0;0.0;0.0056403909230819385;0.0;0.0;0.007070120636447124;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010484751389223116;0.0;0.0;0.0;0.0
27;abstenir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003243118100188945;0.0;0.0;0.0;0.00018749336515853964;0.0;0.0;0.00023169750755890772;0.0;0.0;0.00013451150144353253;0.0;0.0;0.0023236566578662024;0.0;0.0;0.0001859044484181639
28;abusé;0.0;0.004326967329203588;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.196978377454059e-05;0.0;0.0;0.0;0.0;0.0;0.0018367825565329743;0.0;0.0;0.0006341075774062289;0.0;0.0;0.0;0.0;0.0
29;abîme;0.0018409792574520484;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002586766897665609;0.0;0.0008718163827324944;0.013709235049526343;0.0;0.0;0.0;0.0;0.0005110261580896662;0.00019095675878410517;0.0;0.0;0.0;0.0;0.0004342100868074624;0.0;0.0029426541024760214;0.0
30;abîmer;0.025264508890118276;0.03876377271882263;0.0;0.0;0.0052636590293895094;0.010432081605114852;0.0;0.028463632563168965;0.0;0.008171984946850347;0.022907715245413886;0.0;0.0;0.06801697288880937;0.0017643743580695532;0.005113083494660295;0.12785554873387522;0.0;0.06479937201400758;0.00464961236212993;0.0;0.011469713934934565;0.0;0.0;0.02294219598993424;0.032011043528215266
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0057019262265377265;0.0014271034839406626;0.0;3.735436963872848e-05;0.0;0.0;0.0;0.00011126518790734966;0.0;0.002510590859536096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0020178152067853185;0.0
32;abîmé;0.0022403589644058447;0.0;0.0010194539669171193;0.0;0.0;0.0;0.0010101810967803482;0.0;0.0;0.0;0.0;0.001410652296895139;0.0;0.002657836794315307;0.0;0.009869610903462275;0.04678605894517138;0.024444811303175846;0.0005196285828459239;0.0022477940163618333;0.0;0.022641475756364562;0.0;0.0;0.0;0.0
33;acaht;0.0;0.0;0.0;0.0005835085197545683;0.0;0.005709450885624109;4.7002751828921895e-05;0.0;3.426760048658714e-05;0.0;0.0;0.0;9.501698062334537e-05;0.0;0.00020233078078582304;0.0002583734851206301;6.351670967166699e-05;0.000126431070237715;0.0;0.0;0.0;4.071323511575146e-05;0.00043460409200966475;0.0;0.0;0.0
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008497456244600158;0.0;0.0;0.0;0.0;0.0;0.0;0.0017383561506414647;0.0;0.0;0.0;0.0;0.0;0.0;0.00022771869319465371;0.0;0.0;0.0
35;acceptable;0.0;0.005802909134254227;0.0;0.0;0.0;0.0;0.008692460902878906;0.0;0.0;0.0;0.0;0.0001408501803670051;0.0;0.0;0.0;0.0;0.0;0.0;0.0005790360391715777;0.0;0.0;0.00017078807682885632;8.446595504861399e-05;0.0;0.0;0.0
36;accessible;0.0;0.013805191405604916;0.0;0.0;0.0;0.0;0.011688803933317468;0.0005359180342685017;0.0064408659364762815;0.0;0.0;0.005696751339638135;0.0;0.0;0.0;0.026370752206587054;0.0;0.0;0.0;0.0;0.0;0.0021015960318590318;0.0;0.0;0.01213996316610064;0.0
37;accessoire;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.019374249799028166;0.0;0.0;0.0;0.0;0.0016451517287695099;0.0;0.0;0.0;0.0;0.0
