;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
0;Tres nkn schampoing;0.0;0.0;0.0001712352552502447;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6307110352040346e-05;0.0;2.927631016979015e-05;0.0;9.443193996936348e-05;9.091320417425243e-06;0.000608075668080001;0.0;0.0;0.0;0.0;4.30816055247174e-05;0.0;0.00016149111895132645;0.00015271629829439028;0.0
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.00033736966893586136;6.476982305228929e-05;0.000142071468871692;0.0008452005483296184;0.0;0.00016901529437084382;0.0007208674142032906;0.00035492824180382736;0.0008967708703230732;0.0;0.0006074284613943927;0.0;0.0;1.5188846817113338e-05;0.0;0.0002097775476907677;0.0;0.0003050932288929649;0.0;0.0004319601897883737;0.0;0.0011380945448278199;0.0;0.0;0.00041265980676680837;0.0030872229129587756;0.0012985261169661361
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;2.86890258495908e-05;0.0;0.00029709281862215904;0.003220624089737186;0.0012459896753148326;0.0013545698955270877;0.0004595195166391004;0.0;0.003132431187751438;0.06273855038006304;0.0009771653432975385;0.004218705797502398;0.003417677768104224;0.0001112447533256882;0.049712222554494395;0.005989805163024949;0.0;0.043592370062824196;0.0;0.004329532258727644;0.0;0.0;0.000990084192606594;0.0;0.0;0.06386719035415288;0.0011385191463593944
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.0005084819000515929;0.00012733413344879254;0.04864554342076733;0.0;0.0002204423099800738;0.0005333208966034612;0.0022716230125792098;0.05559556243081598;0.002049324451132558;0.0016284035172781622;0.00016259871892952745;0.0010987442865744556;0.0011322192411470304;0.01349242694052622;0.0;2.4081432612773125e-05;0.0034398812885504198;0.020390141578603787;0.0;0.0;0.001914648057265092;0.07206466717951875;0.000983817391730272;0.0;0.009706280354392728;0.0;0.0
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0;0.0;0.0;0.05190985388315984;0.0;0.05441633062761902;0.0;0.0;0.0;0.0;0.0;0.06734498180022835;0.00313968406662472;0.0;0.01456679601971565;0.0;0.0;0.0011175322083038957;0.0;0.07002059839886011;0.0;0.007197941266129973;0.0;0.0;0.0;0.0;0.0
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.0001362703612578033;0.0;0.0016877664356292155;0.0011272666121051932;0.0;0.0012310288931148064;0.002024135972768169;0.0;0.0;0.0004325177680448012;0.0;0.0;0.0009765543234273626;0.0021125740308544083;0.0;0.002181264690682965;0.0005445666029981391;0.0055077902028603425;0.00027831975342168107;0.0012219776076827845;0.004014833537875028;0.0;0.0;0.001985024912718108;0.03229925956943976;0.006314315736801338;0.0
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.0;0.0;0.0;0.00648321699152996;0.0014054728200397434;0.0;9.425886277955902e-05;0.0;0.0;0.0;0.0;0.0;0.0015837260919733757;0.0;0.0007695653620635992;0.02990743067045492;0.0017225496275364864;0.0720950540243463;0.0;0.0;0.0;0.0067810503153520425;0.0;0.0;0.0;0.0;0.00048809477681936166
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;0.0;0.0;0.11290870388260345;0.0023113966788812644;0.0;0.0006995928539820463;0.0013304337353957994;0.0;0.0;0.00040836055756196266;0.0;0.0012261261683098905;0.0;0.007955186822787367;0.018457462858775933;0.0;0.002718913536106057;0.04518561022716534;0.16992453028740093;0.0;0.0;4.384352646753215e-05;0.0;0.0;0.008108877650504828;0.0038518167488630975;0.0
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.0;0.0;0.004750110714157497;0.001077501486498459;0.0;0.001293075771616482;0.0;0.00026155689757638483;0.0;0.0;0.0;0.0;0.0016878443295164254;0.0;0.0014162359997827445;0.0;0.0;0.0;0.001057448424449217;0.006565678205720099;4.950856029989499e-05;0.16231085521828434;0.0;0.002138726574946626;0.0;0.0;0.0
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.00022199267113668319;0.0;4.3289169791469105e-05;0.007429278575107256;0.0;0.00018750654146853788;2.2606619039223104e-05;0.0;3.784995252068261e-06;4.8761882955815e-05;0.003803800774951255;1.0450763594749758e-05;0.0005718673908982569;0.011349650548377133;0.0;0.0006325501870158836;0.0;0.0027985703676361587;0.0007087070293970971;0.0009450434437447306;0.0;0.00318063076847337;0.0;0.0;0.00277135801021906;0.004690113615954415;0.004086328721029957
