;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
0;abandonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.109174807960636e-05;0.0;0.0004609258709665936;0.00017251350635813308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007498991522722405;0.0;0.0
1;abasourdi;0.0;0.00722612916147903;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00022049814114096414;0.0;0.0;0.00039786376249898445;0.0;0.0;0.0;0.0;0.0;0.00020362380668621384;0.0;4.932911209247468e-05
2;abime;0.0008558374100677606;0.0;0.0;0.0;0.0;0.013935361115620024;0.0;0.0;0.011387469608260804;0.0;0.02174564026923364;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006755347453318353;0.0;0.012343851499917038;0.0;0.0;0.007729834434620601;0.0;0.0008946320635169408
3;abiment;0.0;0.0006648767019663832;0.0;0.0;0.0;0.0;0.0;0.0;0.0010541215756350068;0.0;0.0;0.0;0.0;0.0;0.0013296772211467318;0.0;0.0024240929043962828;0.00020135549407992832;0.0;0.0004746869681334576;0.0;0.0;0.0;0.0;0.0;0.0;0.0022651108786369005
4;abimer;0.002275658663215151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01158408847335354;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;abimes;0.002589170774541183;0.0;0.0;0.0;0.0;0.00865983178690535;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011352738331779078;0.0;0.0;0.0;0.0;0.0;0.0
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0024397902588860674;0.0;0.006324295908927438;0.0023010043523093875;0.0;0.0;0.0;0.002270630085889158;0.0;0.0;0.00020535613705435695;0.002522369144675296;0.0;0.004554067254729872
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011846105419939463;0.0;0.0;0.009751087869464076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;abimés;0.0;0.006525984602957634;0.0;0.0;0.002930417446351194;0.0015309258140924272;0.0;0.02203855562032074;0.0;0.0073275433523855875;0.0;0.008328700950188717;0.0;0.07353853793576505;0.0;0.008611248176720888;0.07076396075788562;0.003023582022221301;0.0;0.0;0.0;0.0;0.0;0.0003492732458961229;0.0;0.015507338861968119;0.0
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013157132920317694;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00016717501339236131;0.00012163120327578492;0.0;0.0004310285513631971;0.0;0.0003146258958327407;0.0;0.0004950672704370332;0.0;0.0;0.0;0.0;0.0012391620117746004;0.0029419413057344035;0.0
11;abondant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015577867581103355;0.0;0.0;0.008666974844781442;0.0;0.0;0.0005781551467044467;0.0;0.0;0.0;0.0012649273451834928;7.894065155334712e-05
12;abonnement;0.0;0.0;0.004562708714245679;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02236844402795274;0.0;0.0;0.009644446372564884;0.002741178530022524;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;abonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002959104773508389;0.0;0.00017255062888342962;0.0015061045911971657;0.0;0.0;0.0;0.0;0.0001736438670767739;0.0
14;abonné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0035069253260523263;0.0;0.0;0.0;0.0;3.3691215854130156e-05;0.0;0.0;0.0;0.00010571668296161879;0.0;0.0021752125935880153
15;abordable;0.0;0.12214112106668668;0.01349238898620982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00368932993772456;0.0;0.0;0.004719036782913589;0.027262632092729413;0.0;0.0046851725342394535;0.0;0.01235462777209031;0.0;0.004517435615827064;0.0;0.0;0.018904023464064192;0.0;0.0
16;abricot;6.664872924245914e-06;0.0;0.0007865995686751011;0.002756612778153595;0.0;0.0;0.0016487092656737455;0.0;0.0;0.0;0.024644400552929588;0.0;0.0;0.0007625198722365444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0016796655183802323;0.00027321739377611086;0.0
17;abricotée;0.0;0.0;0.0003529358253297538;0.001245571514235444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013450818281737532;0.0;0.0;0.0005587241795280041;0.0;0.0007636255991487841;0.0;5.704447548776572e-07;0.0019426210000433855;0.0;0.0;6.316130282007736e-05;0.0;0.0;0.0
18;absence;0.0;0.0;0.0;0.0;0.007803760653846883;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017701912133780036;0.0;0.0;0.00841316748288537;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;absolut;0.0;0.0;0.0006972767772994715;0.0;0.0023395484859497283;0.0;0.0;0.0015074257229149366;0.012758826349895013;0.0;0.0;0.0;0.0033747088422524663;0.034376651212987226;0.0006256013425914935;0.0013188348848750097;0.014164229881318857;0.0;0.0;0.0;0.014037117443491622;0.0015739164935731082;0.0;0.0;0.000570945506897328;0.0;0.0
20;absorbant;0.0;0.0;0.0;0.0021830692765499194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.93730517464524e-05;0.0;0.0;0.003982475402621169;0.0;0.0;0.00044036812776467065;0.0;0.0;0.0;0.00040346138354043366;0.00013476879782671432;0.0;0.0004824067369554342;0.0;0.0
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3772109069173634e-190
22;absorbe;0.0;0.0;0.0;0.005103949510698951;0.0;0.0;0.0;0.0;2.0275036335348072e-05;0.0;0.0;0.0;0.0;0.0;0.0005444376883051539;0.0034964368590132727;0.00010849020379760681;0.0;0.0;0.0;0.0;0.0006904023092137111;0.0;0.0;0.0;0.0;0.0
23;absorber;0.0;0.0;0.0;0.0010386040350760413;0.0;0.0;0.0;0.0;0.00023201891936968204;0.0;0.0;0.0;0.0;1.327471370879454e-06;0.0;0.003032145108847038;0.0;0.0;0.0;0.0;0.001055083376259299;0.0001006324842756536;0.0;0.0;0.00020261952534145853;0.0009423856036903995;0.0
24;absorbé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00023911996232117477;7.42414560745013e-05;0.0;0.0;0.0026118598640991137;0.0;0.0;0.00226190663651936;0.0;0.0;0.0006590338347972157;0.000478652453999152;0.0
25;absorbée;0.0;0.0;0.0;0.025571505361874657;0.0;0.0;0.0;0.0;0.0;0.0;0.005506704622751885;0.0;0.0033213598694062925;0.0;0.0029779683604446603;0.007534865257429862;0.0;0.003570329832371252;0.0;0.0;0.0008803199707986626;0.006742331767619645;0.0;0.0;0.0;0.0;0.0
26;absorption;0.0;0.0;0.0;0.005677048553345806;0.0;0.0;0.00714655828017029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01205841674580153;0.0;0.0;0.0;0.0;0.0
27;abstenir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00031805596899196233;0.0;0.0;0.0;0.00017369012918611127;0.0;0.0;0.00021252499710011337;0.00012095604530230802;0.0;0.0022913922439828905;8.530398620309895e-05;0.0;0.00010196095856467245;0.0;0.0;0.0;0.0
28;abusé;0.0;0.004284204294296168;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.096615154960538e-05;0.0;0.0;0.0;0.0021930502521992036;0.0;0.0;0.0007441218056260462;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;abîme;0.0017964676414298538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.162046962626998e-05;0.0;0.00023750862085589758;0.013734527203952955;0.0;0.0;0.0;9.008783718132293e-05;0.0004149586466910784;0.0025090696005384094;0.0;0.0004092536927110687;0.0;0.0;0.0;0.0;0.0027679866251659174;0.0;0.0
30;abîmer;0.025427144800807502;0.038532675682674926;0.0;0.0;0.0053586239867024175;0.01059452201300922;0.0;0.028589832075443834;0.0;0.008526796117947948;0.02400297587474588;0.0;0.0;0.0701874478806818;0.0013265053174770125;0.0;0.12712300783872085;0.011936248835257077;0.0;0.0;0.0037673538876456395;0.013315310198997083;0.02432614992670274;0.0;0.02286670634894705;0.05852985855282018;0.0032606592472020734
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005653854610225342;0.0012640741552943215;0.0;0.0;0.0;0.0;0.0;4.516165456884098e-05;0.0;0.0024458348172156008;0.0018304451165599787;0.0;0.0;0.0;0.0;0.0;0.0;0.001940834877618421;0.0;0.0
32;abîmé;0.0021455004639880904;0.0;0.0010177017608336708;0.0;0.0;0.0;0.0009130208959233959;0.0;0.0;0.0;0.0;0.00131411606788555;0.0;0.0023523382366166545;0.0;0.029231479520004912;0.04625875879300337;0.004312811435162069;0.0;0.0;0.001841887689926456;0.025892370085576568;0.0;0.0;0.0;0.0;0.005029299052605598
33;acaht;0.0;0.0;0.0;0.0005843155553100682;0.0;0.005767779321860914;4.94352653617458e-05;0.0;3.77364354474015e-05;0.0;0.0;0.0;9.459259738831634e-05;0.0;0.00020331594980309826;0.00015437180378091646;6.966294877906788e-05;0.0;0.0;0.0004379368436597073;0.0;4.717059782928674e-05;0.0;0.0;0.0;0.0;0.00012583227131556757
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008563342817958614;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003165633662923182;0.0;0.00023576970079720234;0.0;0.0;0.0;0.0;0.0;0.0;0.0009905653768188228
35;acceptable;0.0;0.005741082495318705;0.0;0.0;0.0;0.0;0.008781026213748756;0.0;0.0;0.0;0.0;0.00013585465123131912;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.515994137431958e-05;0.0;0.00017077616984066186;0.0;0.0;0.0;0.0006524982232071158;0.0
36;accessible;0.0;0.013617130243049298;0.0;0.0;0.0;0.0;0.011832499527493661;0.0005545732978158708;0.006643697456170553;0.0;0.0;0.005769971896124529;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0024415813661421474;0.0;0.0;0.013262608436730407;0.0;0.014324386232198517
37;accessoire;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0019250698768969354;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010561980959022155
