;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
0;abandonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004508206025704887;0.00012132092921765215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0074460030165962995;0.0;0.0;0.0
1;abasourdi;0.0;0.007387500837193255;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00022171746955460634;0.0;0.0;0.0;0.0;0.0003579810746500365;0.0;0.0;0.0;0.00015578761187343392;0.0;0.00011462345830184231;0.0
2;abime;0.0007978415170560001;0.0;0.0;0.0;0.0;0.013788820590393595;0.0;0.0;0.010926897677275903;0.0;0.020254802158981667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011645234895648022;0.0;0.007394611477958776;0.007405172727396621;0.0;0.001363413918452531;0.0
3;abiment;0.0;0.0006406688193671974;0.0;0.0;0.0;0.0;0.0;0.0;0.0010479085675489655;0.0;0.0;0.0;0.0;0.0;0.0013821942730552223;0.0;0.0024003216192729393;0.0;0.0;0.0;0.0;0.0;0.0;0.0006467724479313684;0.0;0.0;0.002624630168650007;0.0
4;abimer;0.0022675070414477395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010671235736636735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;abimes;0.002579004400925268;0.0;0.0;0.0;0.0;0.008591119423955526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01151825266425298;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0022146771357405655;0.0;0.005414388747495081;0.002251161815972511;0.0;0.000333229435668512;0.0023489695078388667;0.0;0.0;0.0;0.0;0.002379033715239949;0.0;0.00502562010333486;0.00019127072274433587
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010995872214965301;0.0;0.0;0.009611874268646833;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;abimés;0.0;0.0067004893637241675;0.0;0.0;0.002922537944338933;0.0015223224526111137;0.0;0.021847505416941058;0.0;0.0072435254258480285;0.0;0.008286199447634207;0.0;0.06841071019325287;0.0;0.0077779882264454505;0.0697436836688388;0.012339457821404198;0.0004464871323211555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012960981298473399;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00014300489630696324;0.0;0.0;0.00035868584278183973;0.0;0.0026958090260771053;0.0;0.0;0.0;0.0;0.0;0.0004980393763907621;0.0011632256105091937;0.0;0.00011201217958995381;0.0
11;abondant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013237575919076329;0.0;0.0007397406677782458;0.0;0.0;0.001821067050631534;0.0002806218345202437;0.0;0.0;0.0;0.0006806937731610713;0.0;0.00840076190748864
12;abonnement;0.0;0.0;0.004576654457351779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02203661366222261;0.0;0.0;0.009588864510304938;0.0024520923737816917;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;abonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9801274138261853e-05;0.00023016999163483245;0.0;0.0;0.0;0.0;0.0;0.0;0.0006843485759162845;0.0;0.001760216545154486;0.0;0.0;0.0;0.00021332928933677178;0.0;0.00014757940106074126;0.0;8.927772575665192e-06
