;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
0;abandonner;0.0;0.0;0.0;0.0;7.002071697277265e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005233401366709627;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010655999968784528
1;abasourdi;0.0;0.007443655057013315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00022957648831971602;0.0;0.0;0.0;0.0;0.00035020832756399434;0.0;0.0;0.0;0.0;0.0;7.201579481010285e-05;0.0;0.00029298719767408964
2;abime;0.0007849224399980533;0.0;0.0;0.0;0.0;0.013835202235197712;0.0;0.0;0.01077725080289875;0.0;0.020625332726577975;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011609517342220037;0.0;0.007874508970924409;0.011117371830922537;0.0;0.0018400509910184142;0.0;0.0
3;abiment;0.0;0.0006402840148519238;0.0;0.0;0.0;0.0;0.0;0.0;0.0010418060685380719;0.0;0.0;0.0;0.0;0.0;0.0014008609667095274;0.0;0.0023933320240012196;0.0;0.0;0.0;0.0;0.0;0.0;0.000679278824816449;0.0;0.0;0.002568723637928989;0.0;0.0
4;abimer;0.002269217212615993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010797973295117625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;abimes;0.002581268747005971;0.0;0.0;0.0;0.0;0.008609615114060356;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011914001408504094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9674900847516477e-05;0.0;0.0;0.0;0.0;0.0023559530569945185;0.0;0.005646333102926192;0.002302750961804245;0.0;0.0004564402484088292;0.002452607532789456;0.0;0.0;0.0;0.0;0.002353331658866756;0.0;0.005202438167385041;0.00020060486126367331;0.0
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011141338784468454;0.0;0.0;0.009581264715268666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;abimés;0.0;0.006703580586893386;0.0;0.0;0.00292896807957351;0.0015512579257300526;0.0;0.02179816721264436;0.0;0.007220675535207462;0.0;0.008248798540113006;0.0;0.06924273717884241;0.0;0.00786190375352756;0.06957583814862081;0.012963641018593432;0.00043601525488570856;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012967559683085376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
