;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
0;Tres nkn schampoing;0.0;0.0;0.00017086414946054708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.747818917055274e-05;0.0;2.3449921026972075e-05;0.0;0.00010724140158918153;6.744306675339437e-06;0.0006734997310668318;0.0;0.0;0.0;1.1852748637171676e-06;5.1363534528394647e-05;3.0674240008645236e-06;0.0;0.0;3.678292719825731e-05;0.0;0.00019033047181843445;0.00020759122990690582
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.00033741442228122536;6.780276280818066e-05;0.00014419291507747616;0.0008231367985425249;0.0;0.00016307610323786027;0.000717751077769871;0.00036142681988821177;0.0009037453823251003;0.0;0.0006446617259052599;0.0;0.0;0.0;0.0;0.00023558163857030786;0.0;0.00028429849461005755;0.0;0.0;0.0;0.0012382781150636387;0.0;0.00033339529195418094;0.0;0.00034109746877867544;0.0011609101257403951;0.0;0.003751715324013284;0.001114259253468851
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;2.0674416701826062e-05;0.0;0.00020446832057648143;0.002619133633048834;0.001226855543509354;0.001317779141931186;0.00042228180089299823;0.0;0.0030142896413619153;0.06288923353714328;0.0007266638147473812;0.004256695216092679;0.00330651370008945;4.968183903221586e-05;0.047061393217266156;0.006425419212639778;0.0;0.046797716800750615;0.0;0.0;0.0;0.0;0.0008983274460089533;0.0030551010561347593;0.0;0.01035879662583605;0.000349533568695289;0.004292543190887102;0.077939814236863;0.001954397689170816
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.0004905282694109476;0.0001584189691559179;0.04871303049833358;0.0;0.00019987863801673034;0.0005063283392481952;0.0022062453591786364;0.056129568089012;0.0023208144564842376;0.0015585290630514542;9.48777243743106e-05;0.001181641695362825;0.001056342078360321;0.013277154999564646;0.0;5.197473768878592e-05;0.003234918170826728;0.02313688860920793;0.0;0.0019062276040406393;0.00075551202840558;0.07695991039369411;0.0009070704182572921;0.0;0.00026713726786977126;0.0;0.0;0.0;0.0;0.015776774928959642
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0;0.0;0.0;0.05148979916860408;0.0;0.054436981846442696;0.0;0.0;0.0;0.0;0.0;0.06827064710831583;0.0031088287310906616;0.0;0.013771774661606269;0.0;0.0;0.0012442851851391173;0.0;0.0;0.0;0.007418661922601469;0.0;0.0622642569681038;0.0;0.012578674891375189;0.0;0.0;0.0;0.0
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.00010453316206203875;0.0;0.001564927594595745;0.0009149481696190516;0.0;0.0011560026722483676;0.001765410157722199;0.0;0.0;0.00039451123328398133;0.0;0.0;0.0008833086836145318;0.0011178073726785939;0.0;0.002169467552276272;0.0;0.004765379981874882;0.0016452140070323106;0.004398815022438245;0.00021966655913476245;0.0;0.0;0.0005189121550645232;0.0;0.0002443438461455933;0.0;0.0;0.006934475717740646;0.0549568251233056
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.0;0.0;0.0;0.006869849418739436;0.0013917570635624582;0.0;0.0001603367585855111;0.0;0.0;0.0;0.0;0.0;0.0016143459960281273;0.0;0.001227307197637827;0.03243774057062063;0.001874240112711503;0.07952754047588258;0.0;0.0;0.0;0.007304934103089437;0.0;0.0;0.0;0.0;0.001922110390762927;0.0;0.0;0.0
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;0.0;0.0;0.11477728495231503;0.0025903601205258414;0.0;0.0006817293929038138;0.001784493907071604;0.0;0.0;0.00036568376814985465;0.0;0.0014804464611705976;0.0;0.006809670950129865;0.01684057644376181;0.0;0.003546640650609316;0.05119597838630989;0.0;0.0;0.199325828463929;0.0010373280016315728;0.0;0.0;0.0;0.00209140660590833;0.0;0.01791677452944958;0.003876389572417842;0.019293119663465037
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.0;0.0;0.004545058515868719;0.0;0.0;0.0012025306842738382;0.0;0.0005362274305227296;0.0;0.0;0.0;0.0;0.000942634206353155;0.0;0.0;0.0;0.0;0.0;0.0002619762901453676;0.0;0.0;0.16801336488225907;0.0;0.0;0.0;0.03541390183441893;0.0;0.0009919302619916981;0.0;0.0
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.0002303843407875978;0.0;1.5192485722183333e-05;0.006975585844495116;0.0;0.00017532954625046262;1.693200566334809e-05;0.0;1.32320320485294e-08;4.6077404828452925e-05;0.0040864308445856794;9.821407626215015e-06;0.000556247112406465;0.011794968480090111;0.0;0.0006686528612410494;0.0;0.002800917325117187;0.0;0.0;0.0010201333640008625;0.0031779788003770916;1.4999916331597834e-05;0.0006626878008309183;0.0;0.005678813422575774;0.002324499464607589;0.00015666657328022038;0.005176567887137497;0.004634597280576223
10;N'en reste pas moins une crème super agréable;0.0;0.00011812184031049362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010936968357919857;0.0;0.000766756680816698;0.0013986397495938223;0.00010517044432965239;0.001937521648691926;0.0;0.0;0.0;0.0018891367192344411;0.0006023617463735064;0.0017232151154471574;0.0009459961327668156;0.00015677063657469476;0.0;0.0
