;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
0;abandonner;0.0;0.0;0.0;0.0;5.961505302497374e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007882658023877899;2.5139462960339564e-05;0.0;0.0;0.0;0.0;0.00012412652663551258;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010539547858823163
1;abasourdi;0.0;0.00761935124499177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002450879480528202;0.0;0.0;0.0;0.0;0.0003729351051506158;0.0;0.0;0.0;0.0;0.0;5.632516766960874e-05;0.0;0.0;0.0003636049208750018
2;abime;0.0008805231500197644;0.0;0.0;0.0;0.0;0.013938557857877194;0.0;0.0;0.011097381139930435;0.0;0.02106855867396524;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011633467467381309;0.0;0.008099414584047313;0.012149677058447448;0.0;0.0017664864194090932;0.0;0.0;0.0
3;abiment;0.0;0.0006470169374228466;0.0;0.0;0.0;0.0;0.0;0.0;0.0010295754358520886;0.0;0.0;0.0;0.0;0.0;0.0014199976385389761;0.0;0.002368461381499216;0.0001900951024219221;0.0;0.0;0.0;0.0;0.0;0.0007235422815467191;0.0;0.0;0.0024927777226396155;0.0;0.0;0.0
4;abimer;0.0022836099639914156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011097130874843313;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;abimes;0.002601332060268559;0.0;0.0;0.0;0.0;0.008649084492568423;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012019264232508254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.039111211054551e-05;0.0;0.0;0.0;0.0;0.0024529839858256617;0.0;0.00598515026559311;0.0023106693405496492;0.0;0.0004544149906484668;0.0025135452114345464;0.0;0.0;0.0;0.0;0.0025458580678550027;0.0;0.005025306902914069;0.0002343769364193516;0.0001092576748621717;0.0
7;abimées;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011357914135985575;0.0;0.0;0.009583225944122035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;abimés;0.0;0.006875139845155457;0.0;0.0;0.002929622530892447;0.001540934171488163;0.0;0.021830756262522982;0.0;0.007301068379775296;0.0;0.008197348891344037;0.0;0.07041928483046025;0.0;0.008279606125183293;0.06961113625970508;0.0028183986215914378;0.0005118638997858216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012852557850902934;0.0
9;abitude;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012964510813438903;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
