;documents;0;1;2;3;4
0;Tres nkn schampoing;0.0;0.00011676303153711387;1.00549039920466e-05;5.926665601445599e-06;7.487165599104073e-06
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.000607569651996747;0.0056519297978953695;0.0017009401322731776;0.0005926675870318212;0.0
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;0.0023840992771395897;0.01612683832696768;0.007157451560773819;0.008907989497874818;0.004294353256041184
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.0016499900975845022;0.04312618497800718;0.0030058247825200065;0.003058839601317617;0.0
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0031025068451491873;0.01701056635181016;0.005872934033711441;0.010826131618276481;0.009397720283890295
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.0010412557411318068;0.003280715055635886;0.003711951025531205;0.0017960614444066502;0.0012784397548576281
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.0;0.05851482704497902;0.0001985295998194148;0.0;0.0036705462328610987
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;0.0;0.13027433097786023;0.0015413107884943366;0.0;0.0
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.0008474025317492389;0.013993399495194668;0.0;0.005091751911246876;0.0
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.0005811557335384738;0.003923709439235669;0.0009761812523664206;0.0010836534931132071;2.9970226187222607e-05
10;N'en reste pas moins une crème super agréable;0.0;0.09557057578726541;0.0;0.0;0.0
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.0005355787635802241;0.001581232208071275;0.0020096294679054286;0.0016806838504919979;0.0
12;remplit sa fonction;0.00028103712694521886;0.0005969814645769105;0.00024108459177412878;0.0009351138656952439;0.00029731309930738177
13;Très bien pour le connaître depuis longtemps;0.0019290305771915062;0.002619161304837609;0.0018957635808262159;0.00032934262649669783;0.0034009489977719536
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.006475954246583208;0.003942126072226661;0.007407477391555192;0.0017321326975185476;0.0041222006393650985
15;...comme les miens c'est le produit idéal qui évite le jaunissement des cheveux et en grande dose tel qu'il est présenté, c'est une utilisation de plusieurs mois;0.0014024997187733347;0.008375115549971082;0.004711325592284625;0.005020268715164242;0.0020149088434784253
16;De toute façon tout ce que fait L'OREAL est au top: ELSEVE pour les cheveux, MEN EXPERT, NARTA déodorant;0.0016087940973650604;0.004159944052773607;0.005386543537128213;0.0012115770492203025;0.0
17;Je me sers de tout cela depuis des années et avec une entière satisfaction;0.0007013161291341615;0.001964281640725426;0.0017706291771835481;0.0011905906585559652;0.00067363077940103
18;Philippe;0.0;0.0;0.0;0.0;3.250777046458816e-40
19;Ravie de retrouver mon mascara préféré sur ce site et à un.prix vraiment abordable..;0.0010799522050229827;0.0006508459974876457;0.07141344481546176;0.0019867053403523406;0.002327583079948774
20;"prix compétitif,...facile d’application... plus d'un moi de traitement....je l""ai testé et dès qu'il est fini je repasse  une commande.";0.00010793246720783177;0.007900159063287313;0.055645602401555874;0.0032069165323614234;0.0035499935786962532
21;Merci;0.0;0.0;0.0;0.0;0.0
22;Shampooing en format salon, dommage que la pompe ne soit pas livrée avec, j'ai du transvaser dans un contenant plus petit. Il laisse une odeur agréable sans être trop forte ou persistante, mousse bien et se rince facilement. J'utilise moins de quantité qu'avec un shampooing de grande surface donc c'est un très bon rapport qualité prix au final.;0.0;0.06142566721570658;0.07115029824985199;0.006041895225453974;0.0
23;Bonjour,;0.0009893469088866496;0.0004955937758025197;0.00014686593629326653;0.0002944284666137497;5.095047117558031e-05
24;;0.0;0.0;0.0;0.0;0.0
25;"assez déçue. Ce n'était pas une plume fine comme je l’espérais mais un feutre. Donc moins précis .. par ailleurs, le noir est trop ""noyé"", feutré, dilué.... pas épais et de ce beau trait ""black"" qu'on aime lorsqu'on surligne et prolonge nos regards.";0.0006365259357033396;0.0040049623564044155;0.0022726642434067927;0.002385386651353625;0.0006428199085113695
26;Mais, je pense que d'autres utilisatrices sauront l’apprécier.;2.465882762351485e-05;0.00023328653769347777;0.0002673430555871596;0.00012023145949218007;0.00011115691774140505
27;Bon produit, redonne douceur aux cheveux mais je le déconseille pour ceux qui ont les cheveux gras, il graisse pas mal le cuir chevelu.;0.0013580706667374225;0.0071056105492065215;0.001300533844832929;0.0037257486376790308;0.0005307724798117335
28;super contente;0.0025640344064861605;0.007568471847109401;0.0015410451811190004;0.0;0.004211929623986278
29;Je connaissait déjà le produit qui est très bien. Je l'ai recommandé par erreur et renvoyé, j'ai été rapidement remboursé;0.06422510582730341;0.005179818343728363;0.00701427531072648;0.001288073931522782;0.008260652474093117
30;Excellent produit de qualité professionnelle. Très satisfaite de cet achat. Vraiment efficace et adapté à mes bedoins. Parfait. A conseiller.;0.003249920174762005;0.004386761413963085;0.07233272365585856;0.08250141586224562;0.009028790901636828
31;Produit avec une bonne senteur qui hydrate et illumine la chevelure instantanément et reste léger et non gras. Je le recommande hautement.;0.05163126794771637;0.0127628872554474;0.0;0.003690119431912394;0.0
32;Effet anti âge et revitalisant sur une peau mature hydrate et assoupli la peau;0.00018519176452767432;0.029427051102752916;0.0;0.01394394520729038;0.0
33;Pour du l Oréal il est de très mauvaise qualité il colle et bave après moins de 2h vraiment je ne le recommande pas du tout pour tester pas mal de produits il fait parti des plus mauvais;0.05197014256438861;0.003966530447826251;0.04738929999384066;3.8645447154126145e-05;0.0025700215210488716
34;Brosse agréable, cils déployés, sans paquets. Odeur agréable. Prix raisonnable.;0.0;0.1304913523616205;0.054356614308025554;0.0;0.0
35;Texture super agréable, j’adore !;0.0011213172331280476;0.16289106648481605;0.0;0.0;0.0
36;Je recommande ce produit que j'utilise depuis longtemps et qui fait son effet de coiffure naturelle sans laque - A essayer sans réserve -;0.06831549509759396;0.0012305862287817866;0.0038497471043673907;0.0035639405239552245;0.0020499609901381277
37;Très bon produit ... je l'utilise depuis 6 mois et j'en suis plus que satisfaite ....rapport qualité prix également...livraison plus que correcte;0.002377341866499352;0.00012874745541913233;0.14577761113437296;0.005544158460756813;0.01817069189081627
38;Ce mascara est super. Je l’utiluse Depuis des années. Par contre vous devez savoir que ce vendeur va vous l’envoyer sans blister. Vous allez le recevoir dans une enveloppe toute simple. Cela n’est pas mentionné dans le descriptif.;0.001600075500418054;0.0016123293412018708;0.0028029500530134155;0.00463746668683154;0.007937567819859088
39;Le seul qui ne me fais pas pleurer les yeux et que je supporte et qui est bien noir je recommande je ne prend que celui la;0.0637753722614326;0.0;0.00031373798290935354;0.0016193697913506327;0.00019530492883155275
40;nan;0.0;0.0;0.0;0.0;0.0
41;j'ai les cheveux vraiment très très sec et ce shampoing les répare très très bien.;0.00315515026570675;0.008668161366669012;0.0065367944680065895;0.018711594876085647;0.0008333116523430564
42;obligé de faire une dissertation c relou;4.796469575104757e-06;0.00018798896529024055;2.274197933619136e-05;0.0002575881171889372;8.963366081216477e-06
43;Heureusement que sur le net il y a des tutoriels parce que le moins qu'on puisse dire c'est débrouille toi avec ce qu'on te vend...De la part d'une si grande marque c'est pauvre, (mais pas le prix) !;0.0;0.0008028067640205519;0.0484746896389504;0.0015061896795820337;0.0
44;Efficacité prouvée grâce à ma fille, venue pour me conseiller, et à qui j'ai offert le deuxième produit.;0.0005608051329267397;0.0029833321661300685;0.0037497266358777403;0.003099310767288146;0.0011008818432407038
45;J'ai les cheveux courts;0.0004893110123034083;0.0008376926529755063;0.0010750526570949249;0.0022583069415419888;0.00012538274733244959
46;Je cherchais une cire qui tienne mes cheveux, ne les rendent pas gras, ni d'effet mouillé et que je puisse resculpter;0.001268748112911329;0.007797274566936397;0.0014340343584262826;0.004329730704109814;3.561726239087087e-05
47;Cette cire fait son office, j'en ai essayé plusieurs et c'est la seul qui arrive au niveau de L'Oréal adixion pour homme qui n'existe plus;0.0008758314300510537;0.00454776647842752;0.004648674658857886;0.003208490789708681;0.0018109609023376349
48;J'en ai même acheté plusieurs pots vu mon niveau de satisfaction;0.0004885326074412137;0.00304831304476686;0.0038553421070300024;0.0019307898007574409;0.0012786525374379768
49;J'ai testé plusieurs palettes correctrices et j'ai fini par acheter celle-ci pour atténuer mes rougeurs et ma couperose.;0.0006378611044321003;0.0018291433176000345;0.0028911924974243234;0.0021059868587670126;0.0008204275965173565
50;Certains se plaindront du manque d'un pinceau, mais je trouve cela superflu et l'application au doigt plus intuitive et facile pour travailler la texture.;9.674784985676302e-05;0.01973520423000563;0.002221920105781515;0.0036427767579541425;0.0007483006031021002
51;J'ai un meilleur rendu et fondu avec un application au doigt plutôt qu'avec le pinceau, j'ai principalement appliqué le vert, les autres couleurs étant difficile à appliquer pour moi puisque je dois en mixer plusieurs pour pouvoir atténuer mes cernes. Je pense que les teintes ne sont pas adaptées à ma carnation,j'aurais besoin d'un anti-cernes plus jaune. Après application de mon fond de teint, le correcteur ne se perçoit pas et c'est le plus important qu'il camoufle les imperfections sans être visible.;0.0019348081055185393;0.011461187563202404;0.004103286754320012;0.011768231612086491;0.0013201990867984501
52;Livraison express comme d'abitude .;0.001472396492731389;0.0;0.002938569518787825;0.004755695853775407;0.008848564216704666
53;petit prix .;0.0;0.0;0.1838216856143193;6.462109556926458e-06;0.0
54;Bon shampoing pour déjaunir les cheveux mechés.;0.0014919350343426717;0.003390203277818154;0.00512836090850046;0.0077267305228119745;0.0009510869605787145
55;pratique avec sa pompe;0.0;0.008836883583750878;0.004139544534803553;0.006642560764167685;0.0006958142669061205
56;satisfaite de mon achat;0.0048272885523975234;0.002252439780209338;0.020294337797769315;0.0024071909650285736;0.029341862913532944
57;Très bonne gamme, parfum doux et nourrit vraiment très bien le cheveux, je ne trouve pas mieux depuis ou sinon à chaque fois que j’ess Je reste déçu et reviens vite à ce masque;0.0032992502281449076;0.026971288071870932;0.007294123431477584;0.00865431680549323;0.0009719321048769234
58;Mascara allongeant qui tient toutes ses promesses. Noir intense. Brosse fine à pivots. Ne fait pas de paquets. Joli packaging.;0.0021700810299386097;0.004316634356777849;0.0036342902120746323;0.00566403339202394;0.001974512314767244
59;très bon produit ! rien à dire;0.0;0.0;0.0;0.0;0.0
60;Première utilisation, une très petite quantité suffit pour se coiffer! (J'en ai mis trop ^^);0.0021432523119150563;0.014418531047351963;0.013168222543713777;0.010103740930577443;0.003256130307269939
61;Bonne tenue et comme annoncé, sans résidus, ne colle pas! Impeccable! Je le recommande !;0.06308144221355397;0.0022521394431121353;0.0015667002997790393;0.0;0.0
62;Bonne tenue des cheveux mais ne colle pas.;0.0;0.0;0.0;0.0;0.0
63;Très facile à utiliser;0.002216226131642075;0.0250156553924435;0.009393511029332986;0.02427857686847361;0.0034444026201065144
64;Achat conforme.;0.0;0.0;0.00063167322184999;0.0;0.21045200435910646
65;Juste parfait;0.0;0.0;0.0;0.3625649006739408;0.0
66;Il sent bon;0.0;0.0;0.0;0.0;0.0
67;Il est grand !;0.00030180739057616236;0.004375198255646275;0.00866668215121373;0.0012522517105381418;0.0
68;Le pot dur assez longtemps avec un lavage quotidien! Protégé parfaitement  les cheveux;0.0009269529225513435;0.005150584712358301;0.0027033996480182692;0.004476720390772385;0.001087109290172133
69;-Re-Pigmenter les cheveux selon sa couleur naturelle....;0.0010700626192878917;0.003891499730835286;0.002596969958223961;0.009278652587689978;0.0025672798561562835
70;;0.0;0.0;0.0;0.0;0.0
71;J'avoue qu'avant d'essayer le produit je n'étais pas convaincu ... D'autant que cela n'étais pas évident puisque la notice donne quelques contre indications... dont une qui me concerne ...les cheve;0.005511464482045484;0.004886050055656403;0.0070023809794977025;0.0028871642179766612;0.0036911558903624008
72;il avait arreté la vente au supermarché et il était les mieux placé niveau prix, bon il on repris en supermarché et là par contre ce n'est plus avantageux de le prendre en ligne;0.0;0.000766556660980676;0.04038071705292301;0.0012921080266777897;0.0
73;rien à dire sur la qualité prouvé de ce produit pour se faire des yeux de biche;0.007731925155551579;0.0028362197833586363;0.07102532480916648;0.0;0.0022798645601320986
74;ce produit et tous a fait se que j'attendais,  ayant pris le meme produit au coiffeur est l'ayant payé plus cher , je recommande le produit.;0.008968404884996898;0.006206722896125348;0.013945889822941988;0.008412111751142605;0.007797691037531062
75;le seul petit  b-mol c'est que ce shampooing a tendance à bleuir légèrement les mains lorsqu'on l'utilise mais ça part rapidement sinon y a pas mieux pour déjaunir! parole de coiffeuse!;0.0022478597518456184;0.008164281324263327;0.011411930999718071;0.008060932225564695;0.004200724069429867
76;Acheté en une si généreuse quantité , calculez à combien ce produit vous revient s'il est acheté chez un coiffeur ( introuvable ailleurs en petite quantité ) , vous aurez vite compris que chez AMAZON , il n'y a pas mieux rapport qualité/prix ,avec envoi rapide et soigné.;0.0008850623787502143;0.002351330179156714;0.10358795351518583;0.007518022312556356;0.005008524437930804
77;Livré rapidement et tout à fait conforme au produit acheté précédemment en salon.;0.0;0.0027173960181012544;0.003945437881675708;0.0014833423618651237;0.10555133074376014
78;L'hydratation et la nutrition font de se produit un best-seller à avoir absolument pour reconstruire parfaitement les fibres capillaires.;0.005758721767498723;0.004996267686876056;0.005381364981361905;0.0027358003070764567;0.002864678936517334
79;Je recommande fortement.;0.13226551293470507;0.0;0.0;0.0;0.0
80;mon coiffeur me l a conseillé pour mes mes mèches;0.001964175617745187;0.001758692452980983;0.010492618367495635;0.014563446269064835;0.002518333785310613
81;j en suis ravie mes cheveux restent beaux et blonds clairs;0.0022273469496738502;0.0012587954467483278;0.0035921900260534882;0.0066737925941218485;0.0022253909843100656
82;Assez difficile à réaliser seule.;0.0003244938868894572;0.0009333593511468893;0.0014569181220109853;0.0021534235061736635;0.0
83;Cela a pas mal abimé mes pointes et longueurs qui ont déjà eu ce type de lissage...;0.0010462175071687429;0.004114401422547959;0.0030974584436292774;0.004080075431724107;0.0025205083978255454
