;term;0;1;2;3;4
0;abandonner;8.223921215682234e-05;0.00035474542985455175;0.00026110535998194137;0.00031945366480595457;0.00021054597291261706
1;abasourdi;0.0;0.0;0.0031989018071781777;0.0;0.0
2;abime;0.0024270030185835362;0.0010371580642215673;0.0007581999709201008;0.008040232911658405;0.0005665830163338035
3;abiment;0.0;0.0009024231397096536;0.0006220763793876039;0.00013407783545776536;0.0
4;abimer;0.002673728906009105;1.4027500067010784e-06;0.0;9.786527341185935e-05;0.0
5;abimes;0.00355229406170339;0.00016017693867796532;0.0004439099866606389;0.0;0.00040347508780220657
6;abimé;0.00023922739577545544;0.0005721170550476917;0.000486424023080868;0.0005777866558914776;0.0004107879678004524
7;abimées;4.017033830357793e-05;0.0005015675166837863;0.00022764984442634768;0.0007021287986901611;0.0
8;abimés;0.0032516899593143253;0.010288102397577235;0.01077748209574737;0.005514668205988718;0.004471233023562419
9;abitude;3.213755697815814e-05;0.0;0.00013574868184000477;0.00032318554648714604;0.0007380732534526234
10;abondance;0.0;0.0002230267027126897;0.00012852461464715948;0.0001551261710729157;7.11495496265993e-05
11;abondant;0.0;0.0005055850364381131;0.00018831976571290486;0.0003444846518153534;0.00033475559208438635
12;abonnement;0.0;0.005550589361018696;0.0;0.011935737736558694;0.00047208741557388655
13;abonner;0.0001362356952450478;0.00024785888531982136;0.00018653345970497096;0.00013433711290799342;5.995205178883663e-05
14;abonné;7.161214034392312e-05;9.624447184697732e-05;0.00013756689060925696;0.00011573038175508039;0.0001289593348113226
15;abordable;0.0;0.014348644347242302;0.056592265413101875;0.0;0.0
16;abricot;0.0003050728069585448;0.0035951498818224607;0.0006227296515602496;0.00047373144804105903;0.0
17;abricotée;0.0;0.0012766516145108267;0.0;3.0371253320673944e-05;3.089262387166596e-05
18;absence;0.0;5.468109676347842e-05;0.0;6.585193339529441e-05;0.006457871951202066
19;absolut;0.0;0.0073539479734230665;0.001005731367278797;0.002076707459817831;0.001963398413804675
20;absorbant;5.984799890946725e-05;0.0006667433812403983;8.071201384242683e-05;0.0002689501692485296;2.2777595661592482e-06
21;absorbantes;0.0;0.0;0.0;0.0;4.188925151142271e-41
22;absorbe;0.0;0.0009434811434302514;0.0;0.00024622691024310756;9.642645209639349e-05
23;absorber;2.313176985857093e-05;0.000706389068851834;5.237363649830313e-05;0.00010609813400214834;9.520397385710588e-05
24;absorbé;0.00011834427243960614;0.00025527222582830345;0.00013970433334424074;0.00010261324995763077;8.010713531900638e-05
25;absorbée;0.0;0.011590489183654063;0.0;0.0006216544976270995;0.0
26;absorption;0.0;0.0008707381619753395;0.002198292705177959;0.0002297559760524344;0.0
27;abstenir;5.485552600525021e-05;2.030908259875452e-05;6.304765631341435e-05;0.0002507968312455991;0.0
28;abusé;0.0;0.0;0.0019722314268248195;0.0;0.0
29;abîme;0.0032553844980091323;8.769126363254973e-05;0.00043573263173484335;0.0008096015366782571;0.000858014549131723
30;abîmer;0.03235024004809899;0.020076604704050673;0.033076038943638225;0.032379180642472305;0.005139959579499809
31;abîmes;0.0006797266402364405;0.0018296429527436223;0.0005473779388059974;0.00020318613753499948;0.0003385480295609914
32;abîmé;0.0049629566710549765;0.004997360248242609;0.0012012292498436248;0.012714722973513773;0.0003606735352512019
33;acaht;5.362572878106925e-05;0.0002499037521964904;0.00020895780919156124;0.00013951658143502435;0.0003090510685099038
34;accentuer;0.00041027264951180577;0.0006216328140493449;0.00047261553443160933;0.0005751789399065618;0.00017927903733407077
35;acceptable;0.0;0.0;0.006920745152436756;0.0;0.0
36;accessible;0.0;0.0005919138958197875;0.016048549090769047;4.800042238878597e-05;0.0
37;accessoire;0.0;0.0002755129533873928;0.0003999916422396232;9.990970270344229e-05;1.1515445018019383e-06
38;accompagne;1.8682240108601958e-05;0.00028212348894788474;9.245107785282958e-06;0.0005236118139920394;0.0
39;accompagner;0.001630927097926063;0.003365549026629932;0.000649211622823451;0.0037017192491409848;0.006839526706207143
40;accord;0.0;0.0008015993057722524;0.0;0.007473902829777606;9.149109354988883e-05
41;accorde;0.0;1.9961108959064848e-05;1.520655071318522e-05;7.499126938826016e-07;2.3523947915803387e-06
42;accorder;6.820311618495181e-05;0.00014114215281513075;9.553966863666061e-05;4.2188755136737276e-05;0.0003051136450439248
43;accouchement;8.577785022796098e-05;0.00021096255180215253;0.0001490855153862168;8.881415435377077e-05;4.5714288154467975e-05
44;accoucher;0.0;3.2105939909782734e-05;0.00037215104867436714;8.640550394931546e-05;0.0
45;accro;0.0;0.0003815586497284259;0.0;0.0011663680860550267;0.0
46;accroche;0.00010264924201152327;0.001858872287551278;0.0001246020079121674;0.0007856315094473403;6.703977005467967e-05
47;accrochent;9.13489381578078e-06;0.0002758734264044984;0.00011613455642179439;0.00012807094031165768;0.0
48;accueil;3.656207437555537e-05;0.0004457145852740177;0.0006754274034931561;1.8488158759847367e-06;0.0
49;accès;3.869969449454253e-05;0.0002552414550881363;0.0002292226564911963;9.428049341710523e-05;0.0006206500004173562
50;accélérer;0.0;0.00016761069877514485;7.636718817469365e-05;4.757601736295646e-05;9.498277199252413e-06
51;ach;1.543965038135048e-05;0.00043994601791538313;0.00034703494304113615;0.0004945907538906688;7.158514555303969e-05
52;achat;0.0039709912991553395;0.02368228144007501;0.050432056328782754;0.015645421398210867;0.08872095127703333
53;achats;0.0;0.0014774505566490068;0.0;0.0;0.0
54;ache;0.0;0.0;0.00013029998792454535;0.00027354898109390754;0.0
55;acheminement;0.0010761004871861059;0.0;0.002981052931242834;0.0;0.0
56;achetais;0.0011271414083322343;0.0;0.004487164668598333;0.007230135816485269;0.0
57;achete;0.0;0.0008042570858244411;0.0;0.0;0.018016340459496565
58;acheter;0.020387232895599343;0.05043112563551001;0.05190821807422247;0.033480832773424014;0.026754212243152047
59;acheteur;0.0;0.0;0.0018523929890437495;0.0003059923736547342;0.00035847924793621586
60;achetez;6.707247016543404e-05;2.1831329418296624e-05;0.0002983728827722381;0.0004566098809988482;1.666706029359201e-05
61;achette;0.0;0.00021198476638091562;8.521963203016465e-05;0.0002666969072059998;6.72732938493246e-05
62;achetée;0.0001475892474155684;0.0003387564579666985;0.00031625242317719114;0.00016557022569936122;0.00022184939542188687
63;achète;0.009198826593939616;0.007529238782223109;0.010928975614420827;0.008393660031159043;0.0019803606156176506
64;achèterai;0.0;0.001108714644742984;0.002431435505607924;0.0;5.3744350484183226e-05
65;achété;0.0;0.0;0.003917780252722846;0.0;0.0036239065467685346
66;acidité;0.0;0.0005745045354506994;1.0201376540772511e-05;0.0003741322821961237;0.0
67;acné;0.0;0.004285528437921227;0.0004954262551423542;0.0009386634515645092;0.0
68;acnéique;0.0;0.0007753032636530969;0.0007134751040469913;0.0005793131183572428;0.0
69;acnés;9.54241598442052e-06;9.453395675636714e-05;3.750689457852617e-05;0.0001014968056075815;0.0
70;acquiert;0.0;0.0003783100009306796;0.001493317042993517;2.3328600821401343e-05;1.4373372473361148e-05
71;acquis;0.0008834433564714216;0.0;0.0024930406637899065;0.0;0.0
72;acquérir;0.0;0.0;0.0001783286271148029;9.497282790744727e-05;0.00013600791863204866
73;actualise;0.00011247085130352496;0.0002809759979374763;9.365687406752284e-05;7.897270632066762e-05;8.155867819232945e-05
74;actuel;1.9291204515561183e-05;0.00046248594907257547;0.0003212272607483057;0.0003041470440628183;0.00013424624249846939
75;actuellement;0.0;0.0004998121408779841;0.002199287720932108;0.0003615548277269619;0.0
76;adapte;0.0013275058176642853;0.003423735749153003;0.0006105138241308991;0.009636074395041789;0.0005426219074736464
77;adaptent;0.0;0.001826857186585123;0.0003167740079514691;3.4120354659409214e-05;0.0
78;adapter;0.001957491159145616;0.01686347489178764;0.009983074074589203;0.011606215952459597;0.0009218643910652961
79;adapté;0.0;0.0009582545437611962;0.00012529384518393177;0.0050976050109040934;0.0001958644376845552
80;adepte;0.008105272995636788;0.0016421594346353319;0.0008657230999498028;0.00904919456184547;0.0
81;adeptes;7.052662902124214e-05;0.0007445183963790332;0.00015919361134219572;0.0005019822262716867;1.0876319534388809e-05
82;adhère;0.0;0.0006410143916312135;0.0017771921025952469;0.00014148644130393442;0.0002388019118718315
83;adhérer;8.812266757044586e-06;0.00022604927828208138;3.494388265948106e-05;0.00016332877280057344;0.00011749425465814717
84;adhésion;0.00014918952273400992;0.0008449675366823174;0.00023294494555486887;0.0006890136031008048;2.1964512358338876e-05
85;adict;1.3430609807091487e-05;8.80823703437315e-05;0.000133612298619986;0.0002071174759375449;1.4348575163988291e-05
86;adieu;0.002107651039963472;0.0;0.0;7.511766380135125e-05;0.0
87;adixion;3.644244087743688e-06;0.00022526228227431164;0.0001707506964104107;0.00012834151241403394;8.520870035881757e-05
88;admettre;4.377603982050127e-05;8.049199809346596e-05;7.813580161862518e-05;0.00019754801835161173;1.9028378856736986e-05
89;ado;4.598491326426676e-10;3.8074729788518046e-07;1.6339348322759438e-07;1.3694616910370777e-07;0.0
90;adobe;0.0;0.0012913705848544362;0.0;0.0;0.0
91;adolescence;4.0352918577249634e-05;0.0006575067771118199;0.00015981441324420086;0.00014846655496739497;4.447079271359604e-06
92;adooooooooooooore;0.0;0.0;0.0;0.0;4.188925151142271e-41
93;adooooooooore;0.0;0.0003398172747342276;0.00017034640383850727;0.00042995685193702543;0.00014679948185793097
94;adooooooore;0.0;0.0;0.0;0.0;4.188925151142271e-41
95;adooore;3.975640884454359e-09;3.8237615084487005e-08;7.309734695347539e-09;1.1471950906808262e-08;3.876716654215133e-09
96;adoore;5.2408661637571124e-05;0.001026861089489764;0.00021738081410535676;8.13091751360364e-05;0.0
97;adopte;0.00011398531280178517;6.461669739213789e-06;0.0005220733891276599;0.0;0.0009779719823788265
98;adopter;0.0034760219535362336;0.0019219608320586359;0.00014259797956917556;0.0009838368804663308;0.0003367870245758066
99;adopté;0.0;0.0038168670346287346;0.006807286943831752;0.0018943923870406224;0.0
100;adore;0.11732326718839735;0.4017910442699975;0.026751750644977406;0.0;0.005806814792497427
101;adoreeeeeee;9.804996132516142e-06;3.3315123619554706e-06;1.2007460150650567e-05;0.00010612702723674934;0.0
102;adorent;1.906322145716426e-05;0.004849389533767606;0.0007463763764787278;0.0009486982414353334;3.0095120967872433e-05
103;adorer;0.0031614190124375956;0.02733125122182508;0.0013594266881037536;0.0;0.0
104;adorrrrrrrreeee;0.0;7.61676598483178e-05;5.0325076413756064e-05;0.00012032181233580943;6.742182593531099e-05
105;adoré;0.0;0.00027809100810104745;0.00017291337838526265;0.00025220206267852067;0.0
106;ados;1.5600194622660154e-05;0.00011368620483549421;2.5851885579488688e-05;0.0001678155787303558;0.0
107;adouci;0.0;0.014062256876429055;0.0;0.0;0.0
108;adoucir;0.00011902286523135777;0.0011172256852622921;0.0007523156677172761;0.0007219227347921079;0.0006238637622801249
109;adoucissent;4.148234398497212e-06;0.000223438073930915;0.00015491468308257236;0.00017289543185487999;0.0
110;adoucit;0.0;0.008841917871595361;0.0;0.001640619353763032;0.0
111;adpater;5.411449966741473e-05;0.00016336433334512176;5.035670631763565e-05;0.00011574366160237788;0.0
112;adresse;7.004603731615083e-05;2.217915571463292e-05;0.0002006491651778117;0.0;0.0003963458161893522
113;adresser;4.382423200358408e-05;0.00034319186532137414;0.0002166813121347698;0.00010738889278209617;6.212394200843258e-05
114;adulte;0.0018407599224886202;0.00023487497835295894;6.543347960788228e-05;0.0;0.0
115;advers;0.0001769032858402835;0.00010194551346327793;0.00015707912039857316;2.0409764776282275e-05;7.079203384909757e-05
116;adéquat;1.892574797842219e-05;0.00012582355938416408;6.838737453557704e-05;0.00011650627708608102;8.249610882599381e-05
117;affaire;0.0;0.002801211503216642;2.725217660570846e-05;0.001379931315932909;0.0002499329299977551
118;affecter;0.0001713218165532721;0.0003816305693048646;0.00022308007505604074;0.00022504958161067098;0.00013522021407146444
119;affine;4.0783911474182945e-06;6.389863263691184e-06;2.414870629671849e-05;4.39970791159153e-05;1.1828866434374039e-06
120;affiner;0.0;0.003145324200088002;0.0;0.0005728229703145579;0.0
121;affoler;0.0;0.0;0.0026971793024776073;0.0;0.0
122;affreux;1.0703882937924558e-05;0.0005091386373021126;0.0001539003321256429;0.00012734374250635008;6.981920921559795e-05
123;affronter;0.0;0.0012766516145108267;0.0;3.0371253320673944e-05;3.089262387166596e-05
124;africain;5.807699590337319e-06;0.0008358231657426265;0.00033920291013045704;0.0014716544439122945;0.00014424154933210138
125;afro;0.0;0.00021371768151510378;6.066194996052704e-05;0.00023147065757981013;0.0001314877503736919
126;after;0.0;0.0006280121903804263;0.0;0.00015171764233537098;0.0
127;aftershave;0.0;0.004548723056801146;0.0;0.0;0.0
128;age;9.620773923397496e-05;0.0021534166660618147;0.0008574287125190554;0.000470749939096377;6.309230484739205e-05
129;agen;0.003943625027692032;0.0;0.0;0.0;0.0
130;agent;1.51838781537007e-05;0.00015624835087334532;1.7103247956359027e-05;1.525231231686113e-05;0.0
131;agglomérer;5.641403724230667e-05;0.0002683397881288981;0.00016808669319908515;0.00046479582395512716;1.9158164349533923e-05
132;agir;0.001805233025667798;0.006440972137739521;0.006622225726563648;0.00913239718523319;0.0018834061453913847
133;agrable;0.0012186358876750336;0.001201298225536628;0.0010075787435870726;0.0;3.61811891944082e-05
134;agrandir;0.0;0.0006715942904985836;5.176018286477932e-05;0.00026232208767685075;5.87025366304324e-05
135;agraphe;0.0;4.381080642062764e-05;5.408637863019981e-05;4.851563468769712e-05;9.187602662725357e-05
136;agreabke;0.0;0.0019475682446178399;0.0;0.0;0.0
137;agreable;0.008309074762459727;0.09239585977483296;0.0;0.006887701437279624;0.0
138;agresse;0.0;0.0009224826177384151;2.329494799860116e-05;0.0006583181439059029;0.0
139;agressent;5.161079063878266e-06;0.00013044139998228955;9.639284330430228e-05;0.00042312414897875683;2.6757857949015025e-05
140;agresser;0.0008678133181611928;0.0013684520520769845;0.0050103722963968245;0.00021658470712872897;0.0
141;agressif;0.002862654853094329;0.0025396618217161013;0.002020090004103602;0.0005025968134202147;0.00031871241183331617
142;agression;1.6390759724520643e-05;0.0003209042400825685;9.122879044870084e-05;6.400102850818766e-05;1.983781500059088e-05
143;agressions;0.0;0.0005948598153143324;3.75316472450496e-05;0.0002627235528704891;0.0
144;agrèable;0.0;0.0074467663959544165;0.0;0.0;0.0
145;agréabe;0.0;0.0020016476596439138;0.0;0.0;0.0
146;agréable;0.0;2.0721937322555135;0.0;0.0;0.0
147;agréablement;0.0;0.0091172618989589;0.00017509018120528418;0.0029836997588843046;0.001743302844414703
148;agréble;0.0;0.0032764685912233422;0.00242440635955947;0.0;0.0
149;agéable;0.0;0.0;0.0;0.0;4.188925151142271e-41
150;aide;0.0030800610740786506;0.005692658793366699;0.0018958459987569742;0.005996996642892634;0.0
151;aider;0.0;0.007503231169292962;0.0002835595201075068;0.007712737034222307;0.004084049271279391
