;term;0;1;2;3;4;5;6
0;abandonner;0.0;4.2060063520126524e-05;0.0;0.0002623433418005057;0.00023502683295568316;0.00020109688787775483;0.00015907261119981261
1;abasourdi;0.0;0.005981566462090118;0.0;0.0;0.0;0.0;0.0
2;abime;0.002045136205310536;0.0;0.00069473331583065;0.0013457554582024835;0.0;0.013038619207674804;0.0
3;abiment;0.0;0.0011746446033467904;0.0;0.000490063441851613;0.0;0.00018730207686745907;0.0
4;abimer;0.0024263439325805294;0.0;0.0;0.00013584533568076736;0.0;0.0;0.0
5;abimes;0.002652577743788888;0.0;0.0;0.0;0.0;0.007652932866429711;0.0
6;abimé;0.0;0.0004736088474601708;0.0;0.0009046442481929997;0.00030482547869019945;0.0006187899042245415;0.0
7;abimées;1.1803310273463625e-06;0.0;0.0;0.001079541296400281;0.0;0.00013786086425794268;0.0002244166893150223
8;abimés;0.0010915028233005682;0.010784124257603122;0.0;0.027822868859337577;0.004182380423917435;0.0057127833687904035;0.0
9;abitude;5.346430396638201e-05;0.0003919655598087703;0.0;0.0;0.0007532626195836287;0.00023231248612362717;0.0
10;abondance;0.0;0.00014945737372423532;8.017758900576159e-05;0.00030549810971595813;6.0659856760769883e-05;0.00019851766238761196;1.07555848135155e-05
11;abondant;0.0;0.00027483695901929967;0.0001738179045184017;0.0005561145801016443;0.00040082869095593303;0.00021883483600764224;5.390300845168314e-05
12;abonnement;0.0;0.0003534730235249752;0.004814588501602442;0.0;0.0014373865475783595;0.0006206548543882629;0.0
13;abonner;1.2620314534746807e-05;4.133263470635017e-05;1.1373033275358615e-05;0.00018952113378895052;6.959218252030907e-06;0.00019453890464663943;6.370376624653126e-05
14;abonné;0.0;0.00015388429857291066;0.0;9.991014058538734e-05;0.00010862956615711231;8.320249284729133e-05;0.0
15;abordable;0.0009320239960106132;0.10393131979986259;0.013116020677229886;0.0;0.0;0.0;0.0
16;abricot;0.00033952891066003904;0.0;0.0011195475900690668;0.002197973962343095;2.8892221726451944e-05;0.0005914762021318351;0.0017742933126354175
17;abricotée;0.0;0.0;0.0006012681294182946;0.0007652926861628845;1.1019634776179117e-05;8.09625126447245e-05;0.0
18;absence;0.0;0.0;8.86435161553061e-05;3.9367119994273704e-05;0.006495341728744165;0.0;0.0
19;absolut;0.0;4.890633068499839e-06;0.002781746697480955;0.007700307596400863;0.0018467006178516498;0.0025976152064780787;0.0008942659178473342
20;absorbant;1.4922758121278292e-06;7.376680750099791e-05;0.0;0.0015980043866296717;0.0;1.3450110407099785e-05;0.0
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;3.47015365557649e-84
22;absorbe;0.0;0.0;0.0;0.0023309940999308313;7.711015612415134e-05;0.0;0.0
23;absorber;0.0;3.9939934736143846e-05;0.0;0.0006728386304174443;8.30345838112457e-05;5.760250042656179e-05;1.1414988279488198e-05
24;absorbé;7.330610763477555e-07;4.962530044762502e-05;7.85702790166556e-06;0.0003804396252847106;3.76148505238862e-05;6.954584330450647e-05;3.196944383532966e-05
25;absorbée;0.0;0.0;0.0;0.01274570019466047;0.0001048876962418252;0.0;0.0
26;absorption;0.0;0.0;0.0;0.0029785851733263933;0.0;0.0;0.005406066092803492
27;abstenir;5.635697137189542e-05;0.00013528013342606774;2.278766235056821e-05;8.198632272154481e-05;0.0;0.00013774702173944918;0.0
28;abusé;0.0;0.0036050887816406153;0.0;0.0;0.0;0.0;0.0
29;abîme;0.0026662689934202665;0.0004922290311361916;0.0;0.00020107875587100662;0.0007943769615565035;0.0006501880783006419;0.0
30;abîmer;0.03152801614087762;0.04127889669277203;7.37059272761017e-05;0.0479535952779577;0.003500161422497879;0.02132826103468989;0.007185494428310714
31;abîmes;0.0;0.0;0.0;0.004466525571555187;1.8083024593248414e-05;7.679348858882198e-05;0.0
32;abîmé;0.004655940237343297;0.0;0.00305112013841637;0.006118180990093623;0.0007950628125742367;0.001638270325114533;0.0028824346925258176
33;acaht;0.0;0.0;0.0;8.184116531557936e-05;0.0;0.004247863912619708;0.0
34;accentuer;0.0;0.0001517152425415175;0.0;0.0005887533340001671;2.5476659140400392e-06;0.0006634411688492195;7.562572801759011e-05
35;acceptable;0.0;0.004674092733110067;0.0;0.0;0.0;0.0;0.006634999046108627
36;accessible;0.0;0.016733557666711002;0.0005982503507307706;0.0014519757009264366;0.0;0.0006614976282522452;0.009031122685311792
37;accessoire;0.0;0.000769787952505923;0.00022536868039521203;0.0001821339276199491;2.713823268538649e-06;8.923513766725777e-05;0.0
38;accompagne;7.824573307037704e-06;3.300874218009292e-05;0.0;0.0008774968602175554;0.0;4.831267758089192e-05;0.0
39;accompagner;0.0011150455389639141;0.0;0.0004808156885552775;0.00721649834612911;0.006153846557846932;0.009440104514577049;0.0
40;accord;0.0;0.0001368222133376729;0.0017781850104488343;0.0010305836889561227;0.00042394694286066424;0.00022412899405646025;0.0
41;accorde;0.0;1.8367909826441904e-05;0.0;3.847331903757539e-05;2.1476386635276856e-06;2.235961339431134e-06;1.4967954574689049e-06
42;accorder;0.0;3.845406634558714e-05;0.0;0.00017742593510560272;0.00027701111285434877;0.00010092623097723162;5.212482521877259e-06
43;accouchement;6.230650559790706e-06;8.09571695741036e-05;3.9517572000836326e-05;0.0001744677635400768;1.2753288886191729e-05;0.00018560084033164114;5.629250736152047e-05
44;accoucher;0.0;0.000658143846309823;0.0;0.00016251802534218165;0.0;5.068398724677725e-05;0.0
45;accro;0.0;5.9592641301876676e-05;0.0;0.0014485868324516096;0.0;5.115886213145484e-05;0.0
46;accroche;0.0;0.0;0.0;0.002722284440982863;6.661157457272714e-05;0.0002774570995971867;0.00016275295977669026
47;accrochent;9.277120017835198e-06;0.00011116110716517229;0.0;0.0003694477269240834;1.1079501404998881e-06;0.0001382881280203843;7.964444641549329e-05
