;term;0;1;2;3;4;5;6;7
0;abandonner;0.0;0.0;0.0;0.0;4.036790116998735e-06;0.0;0.0;0.002091654505722287
1;abasourdi;0.0;0.0;0.0031434334378849455;0.0;0.0;0.00013367618471111633;0.0;0.00011198695682128547
2;abime;0.0010929122048751458;3.111809795411652e-05;0.0;0.0065459068867247125;0.0;0.0;0.0;0.01039642649588323
3;abiment;0.0;0.000591138890402623;0.0004965768696467879;1.882300058978426e-05;0.0;0.0;0.001219603442469325;0.0005785662731866105
4;abimer;0.0026953864504602166;0.0;0.0;0.0;0.0;0.0002359721234321373;0.0;0.0003025570111138208
5;abimes;0.002130694416894374;0.0;0.0;0.0;0.0;0.0;0.0;0.007289414160148576
6;abimé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003888004653428748
7;abimées;0.0;0.0;0.0;0.00027600794863023365;0.0;0.0007818853352218467;8.804131991672203e-06;0.0012418832763611434
8;abimés;0.0;0.0;0.005779234355155754;0.0;0.0028859397654069706;0.025512446181948145;0.0;0.020878743498728442
9;abitude;4.8935466799425175e-05;0.0;0.00015642008753152713;0.00033752289447559563;0.000738011735690753;0.0;0.0;5.247898828894568e-05
10;abondance;0.0;3.262834128435648e-05;0.0;3.256899599296275e-05;0.0;3.3153225699148084e-05;0.0;0.0006464444825910659
11;abondant;0.0;0.0002302285683817574;0.0;0.00014767981178237516;0.00023505593804059593;6.551811267758449e-05;0.0;0.001063972387653691
12;abonnement;0.0;0.007590381409825471;0.0;0.012651378610211463;0.0007103391831071987;0.0;0.0;0.0
13;abonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001646883811907665
14;abonné;0.0;0.0;0.0;0.0;1.0676030301937282e-05;0.0;0.0;0.0010033804120618342
15;abordable;0.0011173884417534858;0.02079013536283217;0.057347636200963496;0.0;0.0;0.0;0.0;0.0
16;abricot;0.00026149442700790834;0.0033713006973108525;0.00047984048937736035;0.0002095483429544127;0.0;0.0010637886108551867;0.0;0.0012091690223229473
17;abricotée;0.0;0.0010679554228336724;0.0;0.0;0.0;0.0004719305835357171;0.0;0.0006091067889073807
18;absence;0.0;8.579647443730786e-05;0.0;2.787958130060591e-05;0.0064532484994261384;0.0;0.0;0.0003949885926624211
19;absolut;0.0;0.0036820375062890866;0.0;0.0;0.0013599890884457887;0.0045026191485552395;0.0;0.0085530993608563
20;absorbant;0.0;0.0;0.0;0.0;0.0;0.001365171037796191;0.0;0.0004712973781218581
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.602993570462486e-131
22;absorbe;0.0;0.0;0.0;0.0;9.191537877307474e-05;0.0022170321335669716;2.911890614607101e-05;3.7280890547780297e-05
23;absorber;0.0;0.0004293977313329028;0.0;0.0;4.024707958032435e-06;0.00035015760422031373;0.0;0.0008039449361085735
24;absorbé;0.0;0.0;0.0;0.0;0.0;1.2728884947177784e-06;0.0;0.0013605915913461944
25;absorbée;0.0;0.00840908586835478;0.0;0.0;0.0001117816805268184;0.01050322067242677;0.0;0.0
26;absorption;0.0;0.0;0.0022306340840895743;0.0;0.0;0.0032437017890385683;0.0;0.0
27;abstenir;0.0;0.0;0.0;0.00019119885344833802;0.0;0.0;4.543817926118783e-05;0.0003209223247627575
28;abusé;0.0;0.0;0.001985827398199361;0.0;0.0;0.0;0.0;0.0
29;abîme;0.0024458498404047995;0.0;0.0;0.00013455663121292552;0.0003854020286449357;0.0;0.0;0.0044150557090969055
30;abîmer;0.02188962595268833;0.0;0.02175306135815881;0.02086624436298086;0.0009966123823157908;0.03336809250869298;0.0;0.06061379330336207
